Week 1	Week 2	Week 3	Week 4	Week 5
Ashley Engli	Claudia Nathalia	Jamie Lee Thomas	Megan Elizabeth*	Melisa Jackson
Megan Hauserman	Shannon Marie	Elena Daniels	Sheena Lee*	[Month Ended]
Triana Iglesias	Jurgita Valts*	Lijon Jones	Ambra Jones	[Month Ended]
Celine Mrazovich	Mandy Lynn	Amanda Duncan*	Shannon Shay	[Month Ended]
Alison Foran	Breann McGregor **	Thea Coleman	Victoria Lynn Melody	Elisa Prevot
Erica Campbell*	Kristin Queen	Crystal Pierce	Kristin Vye Cardenas	[Month Ended]
Victoria Stevens	Candice Cassidy*	Brittney Cox	Nikki Rose	Stephanie Rotuna
Amanda Quagliata	Shannon Sunderlin *	Laura Grillo	Anna Nava	[Month Ended]
Kortnie O'Connor*	Jennifer Lynn	Brandie Moses	Annie Bronson	[Month Ended]
Candi Marie	Nancy Erminia*	Cidney Carson	Debra Ling	Katie Jones
Crystal Alice	Amanda Corey	Ashlee Jae*	Roxanne Dawn	[Month Ended]
Kristy Dwyer	Samantha Harris*	Courtney Leigh	Susan Dumagan	[Month Ended]
