Place	Player	Country	Score	To par
1	Vijay Singh	Fiji	67	–5
2	Rocco Mediate	United States	68	–4
3	Arron Oberholser	United States	69	–3
T4	Tim Clark	South Africa	70	–2
T4	Retief Goosen	South Africa	70	–2
T4	Phil Mickelson	United States	70	–2
T4	Geoff Ogilvy	Australia	70	–2
T8	Stuart Appleby	Australia	71	–1
T8	Rich Beem	United States	71	–1
T8	Chad Campbell	United States	71	–1
T8	Fred Couples	United States	71	–1
T8	Ben Crenshaw	United States	71	–1
T8	Ben Curtis	United States	71	–1
T8	Ernie Els	South Africa	71	–1
T8	David Howell	England	71	–1
T8	Billy Mayfair	United States	71	–1
T8	Nick O'Hern	Australia	71	–1
T8	Mike Weir	Canada	71	–1
