Date	Opponent	Score	Loss	Time	Att.	Record
March 31	@ Indians	8–10	Dotel (0–1)	3:21	41,872	0–1
April 2	@ Indians	2–7	Vázquez (0–1)	3:31	17,645	0–2
April 3	@ Indians	2–1	Westbrook (0–1)	2:27	15,785	1–2
April 4	@ Tigers	8–5	Grilli (0–1)	3:10	34,569	2–2
April 5	@ Tigers	5–3	Miner (0–1)	2:39	42,381	3–2
April 6	@ Tigers	13–2	Verlander (0–1)	2:45	35,230	4–2
April 7	Twins	7–4	Guerrier (0–1)	2:55	38,082	5–2
April 9	Twins	5–12	Danks (0–1)	3:01	16,499	5–3
April 10	Twins	Postponed (rain), rescheduled for June 9	Postponed (rain), rescheduled for June 9	Postponed (rain), rescheduled for June 9	Postponed (rain), rescheduled for June 9	Postponed (rain), rescheduled for June 9
April 11	Tigers	2–5	Contreras (0–1)	3:13	26,094	5–4
April 12	Tigers	7–0	Verlander (0–2)	2:25	29,649	6–4
April 13	Tigers	11–0	Rogers (0–3)	2:34	26,294	7–4
April 14	Athletics	1–2	Buehrle (1–1)	2:40	20,430	7–5
April 15	Athletics	4–1	Eveland (1–1)	2:18	18,254	8–5
April 16	@ Orioles	3–1	Loewen (0–1)	2:25	12,080	9–5
April 17	@ Orioles	5 – 6 (10)	Logan (1–1)	3:20	13,676	9–6
April 18	@ Rays	9–2	Niemann (1–1)	3:02	12,379	10–6
April 19	@ Rays	0–5	Buehrle (1–2)	2:02	17,613	10–7
April 20	@ Rays	6–0	Jackson (2–2)	2:34	17,212	11–7
April 22	Yankees	5–9	Contreras (1–2)	3:44	25,012	11–8
April 23	Yankees	4–6	Vázquez (3–2)	3:06	27,751	11–9
April 24	Yankees	7–6	Chamberlain (1–1)	3:05	27,243	12–9
April 25	Orioles	Postponed (rain) Rescheduled for April 26	Postponed (rain) Rescheduled for April 26	Postponed (rain) Rescheduled for April 26	Postponed (rain) Rescheduled for April 26	Postponed (rain) Rescheduled for April 26
April 26	Orioles	1–5	Danks (2–2)	2:41	23,043	12–10
April 26	Orioles	6–5	Bierd (0–1)	3:28	34,757	13–10
April 27	Orioles	6–1	Guthrie (0–3)	2:58	29,756	14–10
April 28	Orioles	3 – 4 (14)	H. Ramírez (1–3)	4:42	17,367 *	14–11
April 29	@ Twins	1–3	Floyd (2–1)	2:32	20,891	14–12
April 30	@ Twins	3–4	Wassermann (0–1)	2:37	19,137	14–13
