Rank	Name	Span metres	Span feet	Material	Year opened	Location	Country
1	Chenab Railway Bridge	460	1509	steel	2017	Reasi ( Jammu and Kashmir )	India
2	Xijiang Railway Bridge	450	1476	steel	2013	Zhaoqing ( Guangdong )	China
3	Qiubei Nanpanjiang Bridge	416	1365	concrete	2015	Qiubei County ( Yunnan )	China
4	Almonte Railway Bridge	384	1260	concrete	2013	Cáceres ( Extremadura )	Spain
5	Olovozavodskoy Bridge	380	1247	steel	2014	Novossibirsk ( Novosibirsk Oblast )	Russia
6	Zongqihe Bridge	360	1181	CFST	2013	Weixinzhen ( Guizhou )	China
7	Podilsko-Voskresensky Bridge	344	1129	steel	2013	Kiev	Ukraine
8	Lancanjiang River Railway Bridge	342	1122	CFST	2013	Shanyangxiang - Shuizhaixiang ( Yunnan )	China
9	Tajo Railway Bridge	324	1063	concrete	2013	Cáceres ( Extremadura )	Spain
10	Second Ondo Bridge	292	958	steel	2013	Ondochō ( Hiroshima )	Japan
11	New De Oversteek Bridge	285	935	steel	2013	Nijmegen ( Gelderland )	Netherlands
12	Yongjiang Railway Bridge	276	906	steel	2013	Nanning ( Guangxi )	China
13	Torun East Bridge	270	886	steel	2013	Toruń ( Kuyavian-Pomeranian Voivodeship )	Poland
14	New Zaporizhia Bridge	264	866	steel	2014	Zaporizhia ( Zaporizhia Oblast )	Ukraine
15	Mengdong River Bridge	255	837	CFST	2013	Yongshun County ( Hunan )	China
