Season	Series	Team Name	Races	Poles	Wins	Podiums	F/Laps	Points	Final Placing
2008	Formula 3 Sudamericana	Razia Sports	6	0	0	0	0	0	21st
2009	Formula 3 Sudamericana	Razia Sports	18	0	0	8	1	75	5th
2010	Formula 3 Brazil Open	Bassan Motorsport	1	0	0	1	0	N/A	3rd
2010	Formula 3 Sudamericana	Bassan Motorsport	24	7	5	16	4	351	2nd
2010	British Formula Three	CF Racing with Manor Motorsport	3	0	0	0	0	0	21st
2010	Formula Renault UK	CRS Racing	2	0	0	0	0	10	31st
2011	Formula 3 Brazil Open	Bassan Motorsport	1	0	0	1	0	N/A	2nd
2011	British Formula Three	T-Sport	30	0	0	0	0	-36	26th
2011	European F3 Open Championship	Hache Team	10	0	1	3	1	44	9th
2012	Formula Renault 3.5 Series	Pons Racing	17	0	0	0	0	0	29th
