Japanese Title	Romaji Title	TV Station	Episodes	Average Ratings
ホテリアー	Hotelier	TV Asahi	9	8.6%
喰いタン	Kuitan 2	NTV	11	13.7%
冗談じゃない!	Joudanjyanai!	TBS	11	13.4%
孤独の賭け～愛しき人よ～	Kodoku no Kake ~Itoshiki Hito yo~	TBS	11	7.0%
花嫁とパパ	Hanayome to Papa	Fuji TV	12	11.8%
プロポーズ大作戦	Proposal Daisakusen (aka Operation Love )	Fuji TV	11	17.3%
わたしたちの教科書	Watashitachi no Kyokasho	Fuji TV	12	11.2%
バンビ～ノ!	Bambino!	NTV	11	14.2%
特急田中3号	Tokkyuu Tanaka Sangou	TBS	11	8.8%
鬼嫁日記 いい湯だな	Oniyome Nikki Ii Yu da na	Fuji TV	11	12.0%
生徒諸君!	Seitoshokun!	TV Asahi	10	7.6%
セクシーボイスアンドロボ	Sexy Voice and Robo	NTV	11*	7.6%
LIAR GAME	Liar Game	Fuji TV	11	11.4%
帰って来た時効警察	Kaettekita Jikou Keisatsu	TV Asahi	9	12.0%
