Ensemble	Gold Medals	Silver Medals	Bronze Medals	Total Medals
Amador Valley HS	0	1	0	1
Ayala High School	4	2	1	7
Baldwinsville HS	2	0	0	2
Claremont HS	1	1	0	2
Downers Grove HS	0	0	1	1
Father Ryan HS	0	1	0	1
Fort Mill HS	2	1	2	5
Franklin Central HS	6	0	0	6
Gateway High School	2	1	1	4
Goshen HS	0	2	1	3
Harrison Central Paragon HS	0	0	1	1
James Logan High School	1	1	0	2
John Overton HS	0	1	2	3
King Philip High School	0	1	0	1
Mansfield HS	0	1	0	1
Mission Viejo High School	0	1	0	1
Muscle Shoals HS	1	1	2	4
New Philadelphia HS	0	1	0	1
Northglenn HS	0	0	1	1
Rangeview HS	0	1	0	1
Roland Hayes School	0	0	1	1
Tarpon Springs HS	0	1	0	1
Tunstall HS	0	3	4	7
Warsaw Community HS	0	0	1	1
