Year	Award	Category	Nominated Work	Result
2009	Laurence Olivier Award	Best Actress in a Musical	Little Shop of Horrors	Nominated
2010	Evening Standard Award	Best Actress	Legally Blonde	Nominated
2011	Laurence Olivier Award	Best Actress in a Musical	Legally Blonde	Won
2011	Theatregoers' Choice Award	Best Actress in a Musical	Legally Blonde	Won
2011	Evening Standard Award	Best Actress	Flare Path	Won
2011	BroadwayWorld UK Award	Best Featured Actress in a Play	Flare Path	Won
2012	Laurence Olivier Award	Best Performance in a Supporting Role	Flare Path	Won
2013	Theatregoers' Choice Award	Best Actress in a Play	Hedda Gabler	Won
2013	National Television Awards	Outstanding Drama Performance (Female)	Mrs Biggs	Nominated
2013	Royal Television Society Awards	Best Actress	Mrs Biggs	Nominated
2013	British Academy Television Award	Best Actress	Mrs Biggs	Won
2013	TV Choice Awards	Best Actress	Mrs Biggs	Pending
