Entrant	Constructor	Chassis	Engine	Tyre	Driver	Rounds
Danka Arrows Yamaha	Arrows - Yamaha	A18	Yamaha OX11A 3.0 V10	B	Damon Hill	All
Danka Arrows Yamaha	Arrows - Yamaha	A18	Yamaha OX11A 3.0 V10	B	Pedro Diniz	All
Rothmans Williams Renault	Williams - Renault	FW19	Renault RS9 3.0 V10	G	Jacques Villeneuve	All
Rothmans Williams Renault	Williams - Renault	FW19	Renault RS9 3.0 V10	G	Heinz-Harald Frentzen	All
Scuderia Ferrari Marlboro	Ferrari	F310B	Ferrari 046/2 3.0 V10	G	Michael Schumacher	All
Scuderia Ferrari Marlboro	Ferrari	F310B	Ferrari 046/2 3.0 V10	G	Eddie Irvine	All
Mild Seven Benetton Renault	Benetton - Renault	B197	Renault RS9 3.0 V10	G	Jean Alesi	All
Mild Seven Benetton Renault	Benetton - Renault	B197	Renault RS9 3.0 V10	G	Gerhard Berger	1–6, 10–17
Mild Seven Benetton Renault	Benetton - Renault	B197	Renault RS9 3.0 V10	G	Alexander Wurz	7–9
West McLaren Mercedes	McLaren - Mercedes	MP4/12	Mercedes FO110E 3.0 V10 Mercedes FO110F 3.0 V10	G	Mika Häkkinen	All
West McLaren Mercedes	McLaren - Mercedes	MP4/12	Mercedes FO110E 3.0 V10 Mercedes FO110F 3.0 V10	G	David Coulthard	All
Benson & Hedges Jordan Peugeot	Jordan - Peugeot	197	Peugeot A14 3.0 V10	G	Ralf Schumacher	All
Benson & Hedges Jordan Peugeot	Jordan - Peugeot	197	Peugeot A14 3.0 V10	G	Giancarlo Fisichella	All
Prost Gauloises Blondes	Prost - Mugen-Honda	JS45	Mugen-Honda MF-301HB 3.0 V10	B	Olivier Panis	1–7, 15–17
Prost Gauloises Blondes	Prost - Mugen-Honda	JS45	Mugen-Honda MF-301HB 3.0 V10	B	Jarno Trulli	8–14
Prost Gauloises Blondes	Prost - Mugen-Honda	JS45	Mugen-Honda MF-301HB 3.0 V10	B	Shinji Nakano	All
Red Bull Sauber Petronas	Sauber - Petronas	C16	Petronas SPE-01 3.0 V10	G	Johnny Herbert	All
Red Bull Sauber Petronas	Sauber - Petronas	C16	Petronas SPE-01 3.0 V10	G	Nicola Larini	1–5
Red Bull Sauber Petronas	Sauber - Petronas	C16	Petronas SPE-01 3.0 V10	G	Gianni Morbidelli	6–7, 11–16
Red Bull Sauber Petronas	Sauber - Petronas	C16	Petronas SPE-01 3.0 V10	G	Norberto Fontana	8–10, 17
PIAA Tyrrell Ford	Tyrrell - Ford	025	Ford ED4 3.0 V8 Ford ED5 3.0 V8	G	Jos Verstappen	All
PIAA Tyrrell Ford	Tyrrell - Ford	025	Ford ED4 3.0 V8 Ford ED5 3.0 V8	G	Mika Salo	All
Minardi Team	Minardi - Hart	M197	Hart 830 AV7 3.0 V8	B	Ukyo Katayama	All
Minardi Team	Minardi - Hart	M197	Hart 830 AV7 3.0 V8	B	Jarno Trulli	1–7
Minardi Team	Minardi - Hart	M197	Hart 830 AV7 3.0 V8	B	Tarso Marques	8–17
HSBC Malaysia Stewart Ford	Stewart - Ford	SF01	Ford VJ Zetec-R 3.0 V10	B	Rubens Barrichello	All
HSBC Malaysia Stewart Ford	Stewart - Ford	SF01	Ford VJ Zetec-R 3.0 V10	B	Jan Magnussen	All
MasterCard Lola F1 Team	Lola - Ford	T97/30	Ford ECA Zetec-R 3.0 V8	B	Vincenzo Sospiri	1
MasterCard Lola F1 Team	Lola - Ford	T97/30	Ford ECA Zetec-R 3.0 V8	B	Ricardo Rosset	1
