Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
17	December 1	Milwaukee	W 105–94 (OT)	Nenê (24)	J. R. Smith (10)	Chauncey Billups (9)	Pepsi Center 14,221	11–6
18	December 3	L.A. Clippers	W 109–104 (OT)	Carmelo Anthony (26)	Nenê (7)	Chauncey Billups (5)	Pepsi Center 15,829	12–6
19	December 5	Memphis	W 108–107 (OT)	Nenê (27)	Nenê (11)	Ty Lawson , Nenê (6)	Pepsi Center 15,017	13–6
20	December 7	@ Charlotte	L 98–100 (OT)	Chauncey Billups (25)	Carmelo Anthony (7)	Chauncey Billups , Ty Lawson (5)	Time Warner Cable Arena 15,737	13–7
21	December 8	@ Boston	L 89–105 (OT)	Ty Lawson (24)	Al Harrington (8)	Chauncey Billups , Ty Lawson (7)	TD Garden 18,624	13–8
22	December 10	@ Toronto	W 123–116 (OT)	Al Harrington (31)	Shelden Williams (7)	Chauncey Billups (8)	Air Canada Centre 14,715	14–8
23	December 12	@ New York	L 125–129 (OT)	Carmelo Anthony (31)	Carmelo Anthony (13)	Chauncey Billups (6)	Madison Square Garden 19,387	14–9
24	December 14	Orlando	W 111–94 (OT)	Carmelo Anthony (35)	Carmelo Anthony (11)	Ty Lawson (6)	Pepsi Center 16,247	15–9
25	December 16	San Antonio	L 112–113 (OT)	Carmelo Anthony (31)	Carmelo Anthony (9)	Ty Lawson (7)	Pepsi Center 16,190	15–10
26	December 18	Minnesota	W 115–113 (OT)	Carmelo Anthony (24)	Carmelo Anthony (7)	Ty Lawson (9)	Pepsi Center 15,409	16–10
27	December 22	@ San Antonio	L 103–109 (OT)	Ty Lawson , J. R. Smith (22)	Arron Afflalo (10)	Chauncey Billups (7)	AT&T Center 18,581	16–11
28	December 25	@ Oklahoma City	L 106–114 (OT)	Chauncey Billups (30)	Nenê (12)	Ty Lawson (5)	Oklahoma City Arena 18,203	16–12
29	December 26	Philadelphia	L 89–95 (OT)	Chauncey Billups (24)	Chris Andersen , J. R. Smith (11)	Chauncey Billups , Ty Lawson (4)	Pepsi Center 19,155	16–13
30	December 28	Portland	W 95–77 (OT)	Chauncey Billups (18)	Chris Andersen (11)	Chauncey Billups (9)	Pepsi Center 17,388	17–13
