Week	Date	Opponent	Result	Attendance
1	September 16, 1973	Los Angeles Rams	L 23–13	62,315
2	September 23, 1973	at New England Patriots	W 10–7	57,918
3	September 30, 1973	Oakland Raiders	W 16–3	72,631
4	October 7, 1973	Denver Broncos	W 16–14	71,414
5	October 14, 1973	at Green Bay Packers	T 10–10	46,583
6	October 21, 1973	at Cincinnati Bengals	L 14–6	56,397
7	October 29, 1973	at Buffalo Bills	L 23–14	76,071
8	November 4, 1973	at San Diego Chargers	W 19–0	50,234
9	November 12, 1973	Chicago Bears	W 19–7	70,664
10	November 18, 1973	Houston Oilers	W 38–14	68,444
11	November 25, 1973	at Denver Broncos	L 14–10	51,331
12	December 2, 1973	Cleveland Browns	T 20–20	70,296
13	December 8, 1973	at Oakland Raiders	L 37–7	53,945
14	December 16, 1973	San Diego Chargers	W 33–6	43,755
