Year	Name	Date	Stages	Distance	Winner	Time
2002	FedEx Tour of CALABARZON	30 May–2 June	4	517.7 km	Santi Barnachea ( PHI )	12:41:13
2003	Air21 Tour Pilipinas	16 April–11 May	15	2,849.8 km	Arnel Quirimit ( PHI )	55:29:20
2004	Air21 Tour Pilipinas	15 April–2 May	17	2,849.8 km	Rhyan Tanguilig ( PHI )	70:28:59
2005	Golden Tour 50@05	26 May–5 June	10	1,492 km	Warren Davadilla ( PHI )	37:20:55
2006	Padyak Pinoy Tour Pilipinas	12–18 May	8	1,219.4 km	Santi Barnachea ( PHI )	31:10:03
2007	Padyak Pinoy	17–29 May	10	1,500 km	Victor Espiritu ( PHI )	33:02:38
2008	Cancelled	Cancelled	Cancelled	Cancelled	Cancelled	Cancelled
2009	Padyak Pinoy Tour of Champions	8–15 May	8	1,070 km	Joel Calderon ( PHI )	29:52:33
2010	Le Tour de Filipinas	12–20 April	4	468.8 km	David McCann ( IRL )	11:29:20
2011	Le Tour de Filipinas	16–19 April	4	468.8 km	Rahim Emami ( IRI )	12:15:34
2012	Le Tour de Filipinas	14–17 April	4	502 km	Baler Ravina ( PHI )	13:20:32
2013	Le Tour de Filipinas	13–16 April	4	616 km	Ghader Mizbani ( IRI )	16:38:37
