Translator Call Letters	B Mountain Channel	Laurel Mountain Channel	PSIP	Station Call Letters	Network Affiliation ID	Original Channel	Signal Quality
K02HY	2	N/A	N/A	KCBS	CBS	43.1, Los Angeles	Good
K04HX	4	N/A	N/A	KNBC	NBC	36.1, Los Angeles	Good
K05FO	5	N/A	N/A	KTLA	CW	31.1, Los Angeles	Good
K07NH	7	N/A	N/A	KABC	ABC	7.1, Los Angeles	Good
K09MG	9	N/A	N/A	KCAL	Ind.	9.1, Los Angeles	Good
K11ML	11	N/A	N/A	KTTV	Fox	11.1, Los Angeles	Good
K13NF	13	N/A	N/A	KCOP	MyNetwork TV	13.1, Los Angeles	Good
K14AT-D	N/A	14	64	KHIZ	Ind	44, Barstow	Good
K15HJ-D	N/A	15	2	KCBS-DT	CBS	43, Los Angeles	Off air, dead power supply in transmitter
K17HY-D	N/A	17	4	KNBC-DT	NBC	36, Los Angeles	Good
K41GO	N/A	19	N/A	N/A	N/A	N/A	Not in service
K20LH-D	N/A	20	N/A	N/A	N/A	N/A	Not in service
K21IN-D	N/A	21	5	KTLA-DT	CW	31, Los Angeles	Good
K23IS-D	N/A	23	7	KABC-DT	ABC	7, Los Angeles	Good
K33ID-D	N/A	33	N/A	N/A	N/A	N/A	Not in service
K35HO-D	N/A	35	41	K41GO	City	41, Ridgecrest	Good
K39HT-D	N/A	39	58	KLCS-DT	PBS	41, Los Angeles	Good
K45GQ-D	N/A	45	9	KCAL-DT	Ind.	9, Los Angeles	Good
K47AE-D	N/A	47	11	KTTV-DT	Fox	11, Los Angeles	Good
K49AA-D	N/A	49	13	KCOP-DT	MyNetwork TV	13, Los Angeles	Good
K51DD-D	N/A	51	28	KCET-DT	Ind. Public TV	28, Los Angeles	Good
