Current Name	Year First Opened	Manufacturer	Location in Park	Thrill/Intensity Rating	Minimum Height Requirements
Apocalypse: The Ride	2009	Great Coasters International	Cyclone Bay	Moderate	48
Batman: The Ride	1994	Bolliger & Mabillard	DC Universe	Maximum	54
Canyon Blaster	1999	E&F Miler Industries	High Sierra Territory	Mild	33 to ride with an adult' 36 to ride alone
Colossus	1978	International Amusement Devices	Colossus County Fair	Moderate	48
Full Throttle	2013	Premier Rides	Full Throttle Area	Maximum	54
Gold Rusher	1971	Arrow Development	The Movie District	Moderate	48
Goliath	2000	Giovanola	Colossus County Fair	Maximum	48
Green Lantern: First Flight	2011	Intamin	DC Universe	Maximum	52
Magic Flyer	1971	Bradley and Kaye	High Sierra Territory	Mild	None; Rider cannot be taller than 54.
Ninja	1988	Arrow Dynamics	Samurai Summit	Moderate	42
Revolution	1976	Anton Schwarzkopf	Baja Ridge	Moderate	48
The Riddler's Revenge	1998	Bolliger & Mabillard	The Movie District	Maximum	54
Road Runner Express	2011	Vekoma	High Sierra Territory	Moderate	36
Scream!	2003	Bolliger & Mabillard	Colossus County Fair	Maximum	54
Superman: Escape from Krypton	2011	Intamin	Samurai Summit	Maximum	48
Tatsu	2006	Bolliger & Mabillard	Samurai Summit	Maximum	54
Viper	1990	Arrow Dynamics	Baja Ridge	Maximum	54
X²	2002	Arrow Dynamics	Baja Ridge	Maximum	48
