Team	Games	Wins	Losses	Ties	Win Pct.	Playoff berths	Division titles	Postseason record	Super Bowl record
Dallas Cowboys	754	434	314	6	.580	30	20	33-25	5-3
Miami Dolphins	672	387	281	4	.579	22	12	20-20	2-3
Chicago Bears	1242	693	507	42	.577	24	19	16-17	1-1
Oakland Raiders ×	756	410	335	11	.550	21	15	25-18	3-2
Green Bay Packers	1208	654	518	36	.558	25	18	25-16	4-1
San Francisco 49ers	885	476	396	13	.538	22	17	25-17	5-2
Minnesota Vikings	770	414	347	9	.538	25	18	18-25	0-4
New York Giants	1206	639	534	33	.530	30	21	20-24	4-1
Baltimore Ravens 3	220	115	104	1	.523	5	2	7-4	2-0
Denver Broncos	773	404	359	10	.522	17	10	17-15	2-4
Cleveland Browns 5	842	439	393	10	.521	24	18	11-20	0-0
Jacksonville Jaguars 2	236	123	113	0	.521	6	2	5-6	0-0
Indianapolis Colts ×	858	445	406	7	.519	22	15	17-19	2-2
New England Patriots	775	399	367	9	.515	16	11	21-13	3-4
Kansas City Chiefs	762	389	361	12	.510	15	7	8-13	1-1
Washington Redskins	1074	541	506	37	.517	22	13	23-17	3-2
Pittsburgh Steelers	1099	557	521	21	.507	25	19	31-19	6-2
St. Louis Rams ×	1035	522	493	20	.504	27	18	19-24	1-2
Carolina Panthers 2	235	115	120	0	.489	4	3	6-4	0-1
Tennessee Titans ×	774	377	391	6	.487	21	9	14-19	0-1
San Diego Chargers	766	373	382	11	.487	16	14	10-15	0-1
Seattle Seahawks 1	534	258	276	0	.483	10	6	7-10	0-1
Buffalo Bills	770	362	400	8	.470	17	10	14-15	0-4
Philadelphia Eagles	1082	508	548	26	.470	21	11	19-18	0-2
Detroit Lions	1107	495	580	32	.447	14	8	7-10	0-0
New York Jets	760	340	412	8	.447	12	4	8-11	1-0
Cincinnati Bengals	642	277	363	2	.431	8	6	5-8	0-2
Atlanta Falcons	672	274	392	6	.408	9	3	6-9	0-1
New Orleans Saints	651	265	381	5	.407	6	3	3-6	1-0
Arizona Cardinals ×	1198	478	681	39	.399	7	5	5-6	0-1
Tampa Bay Buccaneers 1	532	211	320	1	.397	10	6	6-9	1-0
