Administrative division	Area (km²)	Population 2000 Census	Population (2010 Census)	Population density 2010 (/km²)
Belford Roxo	79	434474	469261	5940
Duque de Caxias	464.5	775456	855046	1840
Guapimirim	361	37952	51487	143
Itaboraí	424.2	187479	218090	514
Japeri	82.9	83278	95391	1151
Magé	386.6	205830	228150	590
Mesquita	34.8	0	168403	4839
Nilópolis	19.4	153712	157483	8118
Niterói	129.3	459451	487327	3769
Nova Iguaçu	523.8	920599	797212	1518
Queimados	77	121993	137938	1791
Rio de Janeiro	1260	5857904	6323037	5018
São Gonçalo	249.1	891119	1013901	4014
São João de Meriti	34.8	449476	459356	13200
Seropédica	284	65260	78183	275
Tanguá	147	26057	30731	209
