Week	Date	Opponent	Result	Attendance
1	September 4, 1983	at Tampa Bay Buccaneers	W 11-0	62,154
2	September 11, 1983	Cleveland Browns	L 31-26	60,095
3	September 18, 1983	Atlanta Falcons	L 30-14	54,622
4	September 25, 1983	at Minnesota Vikings	L 20-17	58,254
5	October 2, 1983	at Los Angeles Rams	L 21-10	49,403
6	October 9, 1983	Green Bay Packers	W 38-14	67,738
7	October 16, 1983	Chicago Bears	W 31-17	66,709
8	October 23, 1983	at Washington Redskins	L 38-17	43,189
9	October 30, 1983	at Chicago Bears	W 38-17	58,764
10	November 7, 1983	New York Giants	W 15-9	68,985
11	November 13, 1983	at Houston Oilers	L 27-17	40,660
12	November 20, 1983	at Green Bay Packers	W 23-20 OT	50,050
13	November 24, 1983	Pittsburgh Steelers	W 45-3	77,724
14	December 5, 1983	Minnesota Vikings	W 13-2	79,169
15	December 11, 1983	at Cincinnati Bengals	L 17-9	45,728
16	December 18, 1983	Tampa Bay Buccaneers	W 23-20	78,392
