Year	Population (Region total)	Population (Maryborough)	Population (Hervey Bay)	Population (Woocoo)	Population (Tiaro)
1933	22,170	11,415	6,835	777	3,143
1947	26,453	14,395	8,642	750	2,666
1954	29,587	17,952	8,408	660	2,567
1961	30,962	19,126	8,991	640	2,205
1966	31,607	19,659	9,271	567	2,110
1971	32,347	19,257	10,737	491	1,862
1976	37,118	21,527	10,304	3,412	1,875
1981	44,454	21,530	16,402	4,456	2,066
1986	48,308	22,430	20,660	2,700	2,518
1991	60,560	22,977	30,867	3,429	3,287
1996	74,210	24,681	42,391	2,902	4,236
2001	77,837	24,465	45,959	2,964	4,449
2006	90,806	25,705	56,427	3,351	5,323
