County	Obama%	Obama#	McCain%	McCain#
Ada	46.90%	82023	53.10%	92879
Adams	32.46%	728	67.54%	1515
Bannock	43.32%	14792	56.68%	19356
Bear Lake	17.44%	502	82.56%	2377
Benewah	34.72%	1407	65.28%	2646
Bingham	26.56%	4424	73.44%	12230
Blaine	66.89%	6947	33.11%	3439
Boise	33.76%	1240	66.24%	2433
Bonner	41.30%	7840	58.70%	11145
Bonneville	28.02%	11415	71.98%	29324
Boundary	32.24%	1474	67.76%	3098
Butte	23.14%	318	76.86%	1056
Camas	30.71%	187	69.29%	422
Canyon	32.03%	20147	67.97%	42752
Caribou	17.23%	553	82.77%	2656
Cassia	17.30%	1305	82.70%	6240
Clark	17.34%	64	82.66%	305
Clearwater	32.04%	1211	67.96%	2569
Custer	26.68%	620	73.32%	1704
Elmore	31.17%	2523	68.83%	5571
Franklin	12.40%	599	87.60%	4231
Fremont	18.47%	1065	81.53%	4700
Gem	27.94%	2166	72.06%	5585
Gooding	28.29%	1485	71.71%	3764
Idaho	24.71%	1935	75.29%	5895
Jefferson	16.12%	1641	83.88%	8540
Jerome	26.81%	1794	73.19%	4897
Kootenai	36.56%	22120	63.44%	38387
Latah	53.51%	9191	46.49%	7984
Lemhi	21.32%	796	78.68%	2938
Lewis	27.31%	479	72.69%	1275
Lincoln	33.95%	497	66.05%	967
Madison	12.75%	1625	87.25%	11120
Minidoka	22.24%	1137	77.76%	3976
Nez Perce	40.75%	7123	59.25%	10357
Oneida	18.10%	381	81.90%	1724
Owyhee	23.79%	944	76.21%	3024
Payette	28.74%	2415	71.26%	5988
Power	36.93%	1027	63.07%	1754
Shoshone	46.05%	2521	53.95%	2953
Teton	50.43%	2302	49.57%	2263
Twin Falls	31.18%	8621	68.82%	19032
Valley	46.54%	2394	53.46%	2750
