Rank	Administrative Division	Area (km²)	Area (sq mi)	National Share (%)	Comparable Country
1	Xinjiang	1664897	640900	17.23	Iran
2	Tibet	1228400	474300	12.75	South Africa
3	Nei Menggu	1155092	456800	12.28	Colombia
4	Qinghai	721000	278400	7.48	Zambia
5	Sichuan	485000	187300	5.03	Turkmenistan
6	Heilongjiang	452645	177600	4.77	Papua New Guinea
7	Gansu	454000	175300	4.71	Sweden
8	Yunnan	383194	152200	4.09	Zimbabwe
9	Guangxi	237558	91400	2.45	Laos
10	Hunan	211855	81800	2.19	Guyana
11	Shaanxi	205800	79500	2.13	Belarus
12	Hebei	188434	72500	1.94	Kyrgyzstan
13	Jilin	191124	72400	1.94	Senegal
14	Hubei	185888	71800	1.93	Syria
15	Guangdong	179757	68700	1.84	Cambodia
16	Guizhou	176153	68000	1.82	Uruguay
17	Henan	165536	64500	1.73	Suriname
18	Jiangxi	166894	64400	1.73	Tunisia
19	Shanxi	156711	60540	1.62	Nepal
20	Shandong	156700	60500	1.62	Bangladesh
21	Liaoning	148064	56300	1.51	Tajikistan
22	Anhui	140126	53800	1.44	Greece
23	Fujian, PRC	124016	46900	1.26	North Korea
24	Zhejiang	104141	40209	1.08	Iceland
25	Jiangsu	102600	39600	1.06	South Korea
26	Chongqing	82269	31800	0.85	United Arab Emirates
27	Ningxia	66000	25500	0.68	Sri Lanka
28	Hainan	35354	13100	0.35	Moldova
29	Beijing	16411	6490	0.17	Swaziland
30	Tianjin	11917	4602	0.12	Vanuatu
31	Shanghai	6340	2448	0.065	Brunei
32	Hong Kong	1104	422	0.011	São Tomé and Príncipe
33	Macau	30	10	0.00028	Tuvalu
