Place	Player	Country	Score	To par
1	Tiger Woods	United States	67-68=135	–5
2	Pádraig Harrington	Ireland	70-68=138	–2
T3	K. J. Choi	South Korea	69-73=142	+2
T3	Sergio García	Spain	68-74=142	+2
T3	Davis Love III	United States	71-71=142	+2
T3	Jeff Maggert	United States	69-73=142	+2
T7	Shigeki Maruyama	Japan	76-67=143	+3
T7	Billy Mayfair	United States	69-74=143	+3
T7	Phil Mickelson	United States	70-73=143	+3
T10	Robert Allenby	Australia	74-70=144	+4
T10	Tom Byrum	United States	72-72=144	+4
T10	Niclas Fasth	Sweden	72-72=144	+4
T10	Steve Flesch	United States	72-72=144	+4
T10	Justin Leonard	United States	73-71=144	+4
T10	Scott McCarron	United States	72-72=144	+4
T10	Rocco Mediate	United States	72-72=144	+4
