Tag ID	Application	Torque Rating	1st	2nd	3rd	4th	5th	6th	Rev	Input Splines	Output Splines
1386-000-003	1992 Dodge Viper	330	2.66:1	1.78:1	1.30:1	1.00:1	0.74:1	0.50:1	2.90:1	26	30
1386-000-005	1993-1995 Dodge Viper	550	2.66:1	1.78:1	1.30:1	1.00:1	0.74:1	0.50:1	2.90:1	26	30
1386-000-006	1993 Camaro/Firebird w/2.73 final drive "M28"	350	3.36:1	2.07:1	1.35:1	1.00:1	0.80:1	0.62:1	3.28:1	26	27
1386-000-007	1993 Camaro/Firebird w/3.23 final drive "M29"	400	2.97:1	2.07:1	1.43:1	1.00:1	0.80:1	0.62:1	3.28:1	26	27
1386-000-009	1994-1995 Camaro/Firebird	450	2.66:1	1.78:1	1.30:1	1.00:1	0.74:1	0.50:1	2.90:1	26	27
1386-000-011	GM Aftermarket	450	2.97:1	2.07:1	1.43:1	1.00:1	0.80:1	0.62:1	3.28:1	26	27
1386-000-012	Mustang 5.0 Aftermarket	450	2.97:1	2.07:1	1.43:1	1.00:1	0.80:1	0.62:1	3.28:1	10	31
1386-000-013	Holden	450	2.66:1	1.78:1	1.30:1	1.00:1	0.74:1	0.50:1	2.90:1	26	27
1386-000-016	1996-1997 Camaro/Firebird	450	2.66:1	1.78:1	1.30:1	1.00:1	0.74:1	0.50:1	2.90:1	26	27
1386-000-017	1998 Camaro/Firebird	450	2.66:1	1.78:1	1.30:1	1.00:1	0.74:1	0.50:1	2.90:1	26	27
1386-000-018	1996-2002 Dodge Viper	450	2.66:1	1.78:1	1.30:1	1.00:1	0.74:1	0.50:1	2.90:1	26	30
1386-000-020	1999-2002 Camaro/Firebird	450	2.66:1	1.78:1	1.30:1	1.00:1	0.74:1	0.50:1	2.90:1	26	27
1386-000-021	Aston Martin	450	2.66:1	1.78:1	1.30:1	1.00:1	0.79:1	0.63:1	2.90:1	26	30
1386-000-022	Holden Commodore	350	2.66:1	1.78:1	1.30:1	1.00:1	0.74:1	0.50:1	2.90:1	26	27
1386-000-023	Corvette C5	375	2.66:1	1.78:1	1.30:1	1.00:1	0.74:1	0.50:1	2.90:1	26	27
1386-000-025	Corvette Z06 C5	385	2.97:1	2.07:1	1.43:1	1.00:1	0.84:1	0.56:1	2.90:1	26	27
TNET-1247	Dodge Viper	450	2.66:1	1.78:1	1.30:1	1.00:1	0.74:1	0.50:1	2.90:1	26	30
TUET-1259	4.6 Mustang Aftermarket w/mech speedo	450	2.97:1	2.07:1	1.43:1	1.00:1	0.80:1	0.62:1	3.28:1	10	31
TUET-1260	4.6 Mustang Aftermarket w/elec speedo	450	2.97:1	2.07:1	1.43:1	1.00:1	0.80:1	0.62:1	3.28:1	10	31
TUET-1452	Chevrolet Corvette	370	2.66:1	1.78:1	1.30:1	1.00:1	0.74:1	0.50:1	2.90:1	26	27
TUET-1453	Chevrolet Corvette	370	2.66:1	1.78:1	1.30:1	1.00:1	0.74:1	0.50:1	2.90:1	26	27
TUET-1576	Aston Martin	415	2.66:1	1.78:1	1.30:1	1.00:1	0.79:1	0.63:1	2.90:1	26	30
TUET-1694	2003-2004 Mustang Cobra	450	2.66:1	1.78:1	1.30:1	1.00:1	0.79:1	0.63:1	2.90:1	26	31
TUET-1806	Dodge Viper SRT-10	550	2.66:1	1.78:1	1.30:1	1.00:1	0.74:1	0.50:1	2.90:1	26	30
TUET-2060	Mustang Cobra	450	2.97:1	2.07:1	1.43:1	1.00:1	0.80:1	0.62:1	3.28:1	10	31
