Place	Player	Country	Score	To par	Money ( $ )
1	Tiger Woods	United States	70-67-68-72=277	–11	630,000
2	Sergio García	Spain	66-73-68-71=278	–10	378,000
T3	Stewart Cink	United States	69-70-68-73=280	–8	203,000
T3	Jay Haas	United States	68-67-75-70=280	–8	203,000
5	Nick Price	Zimbabwe	70-71-69-71=281	–7	129,000
T6	Bob Estes	United States	71-70-72-69=282	–6	112,000
T6	Colin Montgomerie	Scotland	72-70-70-70=282	–6	112,000
T8	Steve Pate	United States	72-70-73-69=284	–4	96,500
T8	Jim Furyk	United States	71-70-69-74=284	–4	96,500
T10	David Duval	United States	70-71-72-72=285	–3	72,167
T10	Corey Pavin	United States	69-74-71-71=285	–3	72,167
T10	Chris Perry	United States	70-73-71-71=285	–3	72,167
T10	Miguel Ángel Jiménez	Spain	70-70-75-70=285	–3	72,167
T10	Jesper Parnevik	Sweden	72-70-73-70=285	–3	72,167
T10	Mike Weir	Canada	68-68-69-80=285	–3	72,167
