Vertical	Horizontal	Aspect ratio	Pixel aspect ratio	Scanning	Frame rate ( Hz )
1080	1920	16:9	1:1	interlaced	25 (50 fields/s)
1080	1920	16:9	1:1	progressive	25
720	1280	16:9	1:1	progressive	50
576	720	4:3 or 16:9	SMPTE 259M	progressive	25 50
576	720	4:3 or 16:9	SMPTE 259M	interlaced	25 (50 fields/s)
576	544	4:3 or 16:9	SMPTE 259M three quarters	progressive	25
576	544	4:3 or 16:9	SMPTE 259M three quarters	interlaced	25 (50 fields/s)
576	480	4:3 or 16:9	SMPTE 259M two thirds	progressive	25
576	480	4:3 or 16:9	SMPTE 259M two thirds	interlaced	25 (50 fields/s)
576	352	4:3 or 16:9	SMPTE 259M half	progressive	25
576	352	4:3 or 16:9	SMPTE 259M half	interlaced	25 (50 fields/s)
