Driver	Constructor	Laps	Time/Retired	Grid
Jackie Stewart	Tyrrell - Ford	75	1:49:03.4	4
Jacky Ickx	Ferrari	75	+ 3.4	1
Chris Amon	Matra	75	+ 58.1	3
Pedro Rodríguez	BRM	75	+ 1:17.9	5
Denny Hulme	McLaren - Ford	75	+ 1:27.0	9
Jean-Pierre Beltoise	Matra	74	+1 Lap	6
François Cevert	Tyrrell - Ford	74	+1 Lap	12
Peter Gethin	McLaren - Ford	73	+2 Laps	7
Tim Schenken	Brabham - Ford	72	+3 Laps	21
Howden Ganley	BRM	71	+4 Laps	17
John Surtees	Surtees - Ford	67	+8 Laps	22
Reine Wisell	Lotus - Ford	58	Not Classified	16
Emerson Fittipaldi	Lotus - Ford	54	Suspension	14
Henri Pescarolo	March - Ford	53	Engine	11
Mario Andretti	Ferrari	50	Engine	8
Alex Soler-Roig	March - Ford	46	Fuel Pump	20
Andrea de Adamich	March - Alfa Romeo	26	Transmission	18
Ronnie Peterson	March - Ford	24	Ignition	13
Clay Regazzoni	Ferrari	13	Engine	2
Rolf Stommelen	Surtees - Ford	9	Fuel Pressure	19
Jo Siffert	BRM	5	Gearbox	15
Graham Hill	Brabham - Ford	5	Steering	10
