Week	Date	Opponent	Result	Attendance
1	September 7, 2003	at Dallas Cowboys	W 27-13	64,104
2	September 14, 2003	Washington Redskins	L 33-31	70,241
3	September 21, 2003	Tampa Bay Buccaneers	L 31-10	70,871
4	September 28, 2003	at Carolina Panthers	L 23-3	72,765
5	October 5, 2003	Minnesota Vikings	L 39-26	70,427
6	October 19, 2003	at St. Louis Rams	L 36-0	66,075
7	October 26, 2003	New Orleans Saints	L 45-17	70,837
8	Bye	Bye	Bye	Bye
9	November 2, 2003	Philadelphia Eagles	L 23-16	70,064
10	November 9, 2003	at New York Giants	W 27-7	78,813
11	November 16, 2003	at New Orleans Saints	L 23-20	68,432
12	November 23, 2003	Tennessee Titans	L 38-31	70,891
13	November 30, 2003	at Houston Texans	L 17-13	70,388
14	December 7, 2003	Carolina Panthers	W 20-14	70,079
15	December 14, 2003	at Indianapolis Colts	L 38-7	57,103
16	December 21, 2003	at Tampa Bay Buccaneers	W 30-28	65,572
17	December 28, 2003	Jacksonville Jaguars	W 21-14	70,266
