Country or territory with flag	Area (km²) (per sqmi)	Population (July 2009 est.)	Population density per km²	Capital
Argentina	km2 (sqmi)	40482000	14.3/km² (/sqmi)	Buenos Aires
Bolivia	km2 (sqmi)	9863000	8.4/km² (/sqmi)	La Paz and Sucre
Brazil	km2 (sqmi)	191241714	22.0/km² (/sqmi)	Brasília
Chile	km2 (sqmi)	16928873	22/km² (/sqmi)	Santiago
Colombia	km2 (sqmi)	45928970	40/km² (/sqmi)	Bogotá
Ecuador	km2 (sqmi)	14573101	53.8/km² (/sqmi)	Quito
Falkland Islands ( United Kingdom )	km2 (sqmi)	3140	0.26/km² (/sqmi)	Port Stanley
French Guiana ( France )	km2 (sqmi)	221500	2.7/km² (/sqmi)	Cayenne ( Préfecture )
Guyana	km2 (sqmi)	772298	3.5/km² (/sqmi)	Georgetown
Paraguay	km2 (sqmi)	6831306	15.6/km² (/sqmi)	Asunción
Peru	km2 (sqmi)	29132013	22/km² (/sqmi)	Lima
Suriname	km2 (sqmi)	472000	3/km² (/sqmi)	Paramaribo
Trinidad and Tobago	km2 (sqmi)	1346350	659.2/km² (/sqmi)	City of Port of Spain
Uruguay	km2 (sqmi)	3477780	19.4/km² (/sqmi)	Montevideo
Venezuela	km2 (sqmi)	26814843	30.2/km² (/sqmi)	Caracas
