Game	November	Opponent	Score	Record
10	2	@ New Jersey Devils	6 - 5 OT	5-5-0
11	4	@ Pittsburgh Penguins	4 - 2	6-5-0
12	6	Philadelphia Flyers	5 - 2	6-6-0
13	8	@ Winnipeg Jets	7 - 3	7-6-0
14	9	@ Minnesota North Stars	4 - 3 OT	7-7-0
15	11	Chicago Black Hawks	5 - 4 OT	7-8-0
16	13	Montreal Canadiens	5 - 2	8-8-0
17	16	@ Montreal Canadiens	2 - 2 OT	8-8-1
18	17	Edmonton Oilers	3 - 2 OT	8-9-1
19	20	Toronto Maple Leafs	7 - 3	9-9-1
20	23	@ New York Islanders	5 - 0	10-9-1
21	24	New York Islanders	4 - 3 OT	10-10-1
22	27	Calgary Flames	5 - 2	10-11-1
23	29	@ Washington Capitals	5 - 2	11-11-1
24	30	@ Pittsburgh Penguins	5 - 4	11-12-1
