Player	Position	School	Hometown	College
Dorial Green-Beckham	Wide receiver	Hillcrest High School	Springfield, Missouri	Missouri
Jameis Winston	Quarterback	Hueytown High School	Hueytown, Alabama	Florida State
Johnathan Gray	Running back	Aledo High School	Aledo, Texas	Texas
Rushel Shell	Running back	Hopewell High School	Aliquippa, Pennsylvania	Pittsburgh
Kelvin Taylor ‡	Running back	Glades Day School	Belle Glade, Florida	Florida
D. J. Humphries	Offensive line	Mallard Creek High School	Charlotte, North Carolina	Florida
John Theus	Offensive line	Bolles School	Jacksonville, Florida	Georgia
Andrus Peat	Offensive line	Corona del Sol High School	Tempe, Arizona	Stanford
Zach Banner	Offensive line	Lakes High School	Lakewood, Washington	Southern California
J. J. Denman	Offensive line	Pennsbury High School	Fairless Hills, Pennsylvania	Rutgers
Jordan Westerkamp	Wide receiver	Montini Catholic High School	Lombard, Illinois	Nebraska
Stefon Diggs	Wide receiver	Good Counsel High School	Olney, Maryland	Maryland
