Date	Tournament	Winning score	Margin of victory	Runner(s)-up
Jun 14, 1981	Peter Jackson Champions	–12 (67-68-69=204)	Playoff	Gene Littler
Oct 18, 1981	Suntree Seniors Classic	–12 (68-71-65=204)	4 strokes	Bob Goalby
Dec 6, 1981	PGA Seniors' Championship	–7 (68-72-68-73=281)	2 strokes	Arnold Palmer
Jul 11, 1982	U.S. Senior Open	–2 (72-74-71-65=282)	4 strokes	Gene Littler , Dan Sikes
Oct 17, 1982	Suntree Classic	–24 (66-66-66-66=264)	5 strokes	Don January
Oct 24, 1982	Hilton Head Seniors International	–6 (69-69=138)	Tie [1 ]	Dan Sikes
Jun 12, 1983	Senior Tournament Players Championship	–10 (71-69-70-68=278)	1 stroke	Gene Littler
Jul 17, 1983	Merrill Lynch/Golf Digest Commemorative Pro-Am	–16 (65-66-69=200)	5 strokes	Gay Brewer
Oct 2, 1983	United Virginia Bank Seniors	–5 (68-71-72=211)	1 stroke	Roberto De Vicenzo , Rod Funseth , Don January
Oct 23, 1983	Hilton Head Seniors International	–7 (72-69-71-69=281)	3 strokes	Gay Brewer , Jim Ferree , Gene Littler
Jun 17, 1984	Roy Clark/Skoal Bandit Senior Challenge	–1 (71-73-68=212)	1 stroke	Don January , Peter Thomson
Jul 1, 1984	U.S. Senior Open	+6 (74-71-70-71=286)	2 strokes	Arnold Palmer
Jul 8, 1984	Greater Syracuse Senior's Pro Classic	–10 (69-70-67=206)	3 strokes	Rod Funseth
Sep 12, 1984	Denver Post Champions of Golf	–8 (68-70-70=208)	3 strokes	Gay Brewer
Feb 10, 1985	Sunrise Senior Classic	–5 (76-66-69=211)	1 stroke	Orville Moody
Jun 30, 1985	U.S. Senior Open	–3 (71-72-71-71=285)	4 strokes	Roberto De Vicenzo
Sep 22, 1985	PaineWebber World Seniors Invitational	–11 (72-67-67-71=277)	2 strokes	Gay Brewer
Jan 11, 1986	MONY Senior Tournament of Champions	–6 (70-70-70-72=282)	5 strokes	Arnold Palmer
Aug 30, 1987	Showdown Classic	–6 (71-67-72=210)	1 stroke	Bruce Crampton
Sep 27, 1987	Newport Cup	–14 (67-70-65=202)	2 strokes	Bruce Crampton
Ju1 18, 1988	Showdown Classic	–9 (70-67-70=207)	2 strokes	Orville Moody , Dick Rhyan , Ben Smith
Nov 13, 1988	Fairfield Barnett Classic	–19 (64-65-68=197)	5 strokes	Homero Blancas
Jan 8, 1989	MONY Senior Tournament of Champions	–8 (73-67-68-72=280)	1 stroke	Dale Douglass
Mar 5, 1989	Vintage Chrysler Invitational	–7 (70-70-72-69=281)	1 stroke	Don Bies , Bob Charles , Larry Mowry
