Rank	WS Points	Name	Country	08-09 I/O best	08-09 GP/JGP best	08-09 GP/JGP 2nd	08-09 OI best	08-09 OI 2nd	07-08 I/O best	07-08 GP/JGP best	07-08 GP/JGP 2nd	07-08 OI best	07-08 OI 2nd
1	4353	Aliona Savchenko / Robin Szolkowy	Germany	1200	648	400	250	0	840	560	280	175	0
2	3740	Dan Zhang / Hao Zhang	China	1080	720	400	0	0	756	504	280	0	0
3	3397	Qing Pang / Jian Tong	China	875	800	400	0	0	588	454	280	0	0
4	3355	Yuko Kavaguti / Alexander Smirnov	Russia	972	525	400	250	0	613	368	227	0	0
5	2808	Jessica Dubé / Bryce Davison	Canada	756	360	324	0	0	680	408	280	0	0
6	2804	Maria Mukhortova / Maxim Trankov	Russia	787	472	360	225	0	529	227	204	0	0
7	2670	Tatiana Volosozhar / Stanislav Morozov	Ukraine	709	583	360	203	0	428	204	183	0	0
8	2058	Lubov Iliushechkina / Nodari Maisuradze	Russia	715	600	292	0	0	451	0	0	0	0
9	2047	Meagan Duhamel / Craig Buntin	Canada	612	324	292	0	0	496	165	0	158	0
10	1840	Ksenia Krasilnikova / Konstantin Bezmaternikh	Russia	0	486	250	0	0	501	420	183	0	0
11	1837	Yue Zhang / Lei Wang	China	342	540	262	0	0	266	223	204	0	0
12	1776	Ekaterina Sheremetieva / Mikhail Kuznetsov	Russia	469	225	0	164	0	365	378	175	0	0
13	1739	Keauna McLaughlin / Rockne Brubaker	United States	551	360	324	0	0	0	252	252	0	0
14	1542	Adeline Canac / Maximin Coia	France	362	236	213	203	0	214	165	149	0	0
15	1511	Stacey Kemp / David King	United Kingdom	339	292	0	250	0	347	149	134	0	0
16	1496	Rena Inoue / John Baldwin	United States	446	360	262	0	0	428	0	0	0	0
17	1343	Huibo Dong / Yiming Wu	China	362	292	191	0	0	405	93	0	0	0
18	1331	Anastasia Martiusheva / Alexei Rogonov	Russia	644	437	250	0	0	0	0	0	0	0
19	1307	Tiffany Vise / Derek Trent	United States	0	262	262	0	0	281	204	183	115	0
20	1305	Mylène Brodeur / John Mattatall	Canada	465	292	236	0	0	312	0	0	0	0
21	1243	Maria Sergejeva / Ilja Glebov	Estonia	224	262	148	0	0	295	165	149	0	0
22	1183	Marissa Castelli / Simon Shnapir	United States	579	354	182	0	0	0	68	0	0	0
23	1121	Narumi Takahashi / Mervin Tran	Japan	380	319	203	0	0	115	104	0	0	0
24	1057	Amanda Velenosi / Mark Fernandez	Canada	0	213	164	0	0	216	306	158	0	0
