Date	Result	Score	Venue	Competition
14 January 2009	W	3–2	Aleppo , Syria	2011 AFC Asian Cup qualification
18 January 2009	W	5–1	Kuwait City , Kuwait	Friendly
23 January 2009	W	3–2	Kuwait City , Kuwait	Friendly
28 January 2009	W	2–0	Saida , Lebanon	2011 AFC Asian Cup qualification
1 February 2009	D	1–1	Dubai , United Arab Emirates	Friendly
21 March 2009	L	1–2	Aleppo , Syria	Friendly
27 June 2009	W	2–1	Montreal , Canada	Friendly
20 August 2009	W	2–0	New Delhi , India	2009 Nehru Cup
24 August 2009	W	4–0	New Delhi , India	2009 Nehru Cup
27 August 2009	W	1–0	New Delhi , India	2009 Nehru Cup
29 August 2009	W	1–0	New Delhi , India	2009 Nehru Cup
31 August 2009	D	1–1 (4–5p)	New Delhi , India	2009 Nehru Cup
26 October 2009	L	0–1	Al Jahra , Kuwait	Friendly
8 November 2009	D	1–1	Bangkok , Thailand	Friendly
14 November 2009	W	1–0	Hanoi , Vietnam	2011 AFC Asian Cup qualification
18 November 2009	D	0–0	Aleppo , Syria	2011 AFC Asian Cup qualification
