Place	Player	Country	Score	To par	Money ( £ )
1	Nick Faldo	England	68-69-71-71=279	–5	75,000
T2	Paul Azinger	United States	68-68-71-73=280	–4	49,500
T2	Rodger Davis	Australia	64-73-74-69=280	–4	49,500
T4	Ben Crenshaw	United States	73-68-72-68=281	–3	31,000
T4	Payne Stewart	United States	71-66-72-72=281	–3	31,000
6	David Frost	South Africa	70-68-70-74=282	–2	26,000
7	Tom Watson	United States	69-69-71-74=283	–1	23,000
T8	Nick Price	Zimbabwe	68-71-72-73=284	E	18,667
T8	Craig Stadler	United States	69-69-71-75=284	E	18,667
T8	Ian Woosnam	Wales	71-69-72-72=284	E	18,667
