Map Key	Commune	Canton	District	Population
1	Beaufort	Echternach	Grevenmacher	2180
2	Bech	Echternach	Grevenmacher	1076
3	Beckerich	Redange	Diekirch	2307
4	Berdorf	Echternach	Grevenmacher	1695
5	Bertrange	Luxembourg	Luxembourg	6446
6	Bettembourg	Esch-sur-Alzette	Luxembourg	9809
7	Bettendorf	Diekirch	Diekirch	2493
8	Betzdorf	Grevenmacher	Grevenmacher	3258
9	Bissen	Mersch	Luxembourg	2745
10	Biwer	Grevenmacher	Grevenmacher	1638
11	Boevange-sur-Attert	Mersch	Luxembourg	2000
12	Boulaide	Wiltz	Diekirch	964
13	Bourscheid	Diekirch	Diekirch	1359
14	Bous	Remich	Grevenmacher	1372
15	Clervaux	Clervaux	Diekirch	4564
16	Colmar-Berg	Mersch	Luxembourg	1954
17	Consdorf	Echternach	Grevenmacher	1813
18	Contern	Luxembourg	Luxembourg	3490
19	Dalheim	Remich	Grevenmacher	2014
20	Diekirch	Diekirch	Diekirch	6413
21	Differdange	Esch-sur-Alzette	Luxembourg	21869
22	Dippach	Capellen	Luxembourg	3564
23	Dudelange	Esch-sur-Alzette	Luxembourg	18657
24	Echternach	Echternach	Grevenmacher	4960
25	Ell	Redange	Diekirch	1125
26	Erpeldange	Diekirch	Diekirch	2248
27	Esch-sur-Alzette	Esch-sur-Alzette	Luxembourg	30630
28	Esch-sur-Sûre	Wiltz	Diekirch	324
29	Eschweiler	Wiltz	Diekirch	832
30	Ettelbruck	Diekirch	Diekirch	7837
31	Feulen	Diekirch	Diekirch	1574
32	Fischbach	Mersch	Luxembourg	869
33	Flaxweiler	Grevenmacher	Grevenmacher	1758
34	Frisange	Esch-sur-Alzette	Luxembourg	3778
35	Garnich	Capellen	Luxembourg	1802
36	Goesdorf	Wiltz	Diekirch	1270
37	Grevenmacher	Grevenmacher	Grevenmacher	4347
38	Grosbous	Redange	Diekirch	878
39	Heffingen	Mersch	Luxembourg	1052
40	Hesperange	Luxembourg	Luxembourg	13411
41	Hobscheid	Capellen	Luxembourg	3079
42	Junglinster	Grevenmacher	Grevenmacher	6524
43	Käerjeng	Capellen	Luxembourg	9722
44	Kayl	Esch-sur-Alzette	Luxembourg	7918
45	Kehlen	Capellen	Luxembourg	5038
46	Kiischpelt	Wiltz	Diekirch	965
47	Koerich	Capellen	Luxembourg	2164
48	Kopstal	Capellen	Luxembourg	3170
49	Lac de la Haute-Sûre	Wiltz	Diekirch	1545
50	Larochette	Mersch	Luxembourg	2016
51	Lenningen	Remich	Grevenmacher	1722
52	Leudelange	Esch-sur-Alzette	Luxembourg	2151
53	Lintgen	Mersch	Luxembourg	2567
54	Lorentzweiler	Mersch	Luxembourg	3438
55	Luxembourg	Luxembourg	Luxembourg	94034
56	Mamer	Capellen	Luxembourg	7687
57	Manternach	Grevenmacher	Grevenmacher	1741
58	Mersch	Mersch	Luxembourg	7848
59	Mertert	Grevenmacher	Grevenmacher	3730
60	Mertzig	Diekirch	Diekirch	1748
61	Mompach	Echternach	Grevenmacher	1055
62	Mondercange	Esch-sur-Alzette	Luxembourg	6227
63	Mondorf-les-Bains	Remich	Grevenmacher	4608
64	Niederanven	Luxembourg	Luxembourg	5459
65	Nommern	Mersch	Luxembourg	1144
66	Parc Hosingen	Clervaux	Diekirch	3083
67	Pétange	Esch-sur-Alzette	Luxembourg	15971
68	Préizerdaul	Redange	Diekirch	1398
69	Putscheid	Vianden	Diekirch	974
70	Rambrouch	Redange	Diekirch	3903
71	Reckange-sur-Mess	Esch-sur-Alzette	Luxembourg	2098
72	Redange	Redange	Diekirch	2554
73	Reisdorf	Diekirch	Diekirch	1058
74	Remich	Remich	Grevenmacher	3345
75	Roeser	Esch-sur-Alzette	Luxembourg	5269
76	Rosport	Echternach	Grevenmacher	2073
77	Rumelange	Esch-sur-Alzette	Luxembourg	5066
78	Saeul	Redange	Diekirch	697
79	Sandweiler	Luxembourg	Luxembourg	3194
80	Sanem	Esch-sur-Alzette	Luxembourg	14545
81	Schengen	Remich	Grevenmacher	1553
82	Schieren	Diekirch	Diekirch	1486
83	Schifflange	Esch-sur-Alzette	Luxembourg	8653
84	Schuttrange	Luxembourg	Luxembourg	3592
85	Septfontaines	Capellen	Luxembourg	792
86	Stadtbredimus	Remich	Grevenmacher	1496
87	Steinfort	Capellen	Luxembourg	4545
88	Steinsel	Luxembourg	Luxembourg	4754
89	Strassen	Luxembourg	Luxembourg	7385
90	Tandel	Vianden	Diekirch	1747
91	Troisvierges	Clervaux	Diekirch	2972
92	Tuntange	Mersch	Luxembourg	1288
93	Useldange	Redange	Diekirch	1508
94	Vallée de l'Ernz	Diekirch	Diekirch	2375
95	Vianden	Vianden	Diekirch	1692
96	Vichten	Redange	Diekirch	1027
97	Wahl	Redange	Diekirch	846
98	Waldbillig	Echternach	Grevenmacher	1438
99	Waldbredimus	Remich	Grevenmacher	963
100	Walferdange	Luxembourg	Luxembourg	7348
101	Weiler-la-Tour	Luxembourg	Luxembourg	1888
102	Weiswampach	Clervaux	Diekirch	1350
103	Wiltz	Wiltz	Diekirch	4977
104	Wincrange	Clervaux	Diekirch	3778
105	Winseler	Wiltz	Diekirch	1116
