Letters	Organization	Nickname	Founding Date	Founding University	Type	Canadian Chapters
ΑΓΔ	Alpha Gamma Delta	"A G D" or "Alpha Gam" or "Gams"	1904-05-30	Syracuse University	Social	8 Active, 2 Inactive
ΑΔΠ	Alpha Delta Pi	"A D Pi"	1851-05-15	Wesleyan College	Social	3 Active, 1 Inactive
AΕΦ	Alpha Epsilon Phi	"A E Phi" or "Phisters"	1909-10-24	Barnard College	Jewish	1 Active, 2 Inactive
ΑΟΠ	Alpha Omicron Pi	"AOPi" "Alphas" "Alpha O's"	1897-01-02	Barnard College	Social	8 Active
AΦ	Alpha Phi	"A-Phi"	1872-10-10	Syracuse University	Social	6 Active, 1 Inactive
ΓΦΒ	Gamma Phi Beta	"Gamma Phi", "G-Phi-B" or "G-Phi"	1874-11-11	Syracuse University	Social	3 Active, 2 Inactive
ΔΓ	Delta Gamma	"DG" or "DeeGee"	1873-12-25	Lewis School for Girls	Social	3 Active, 2 Inactive
ΔΔΔ	Delta Delta Delta	"Tri Delta"	1888-11-27	Boston University	Social	2 Active, 2 Inactive
ΔΖ	Delta Zeta	"DZ"	1902-10-24	Miami University	Social	1 Active, 1 Inactive
ΔΦΕ	Delta Phi Epsilon	"DPhiE"	1917-03-17	New York University Law School	Social	1 Active, 5 Inactive
ΚΑΘ	Kappa Alpha Theta	"Theta" or "KAT"	1870-01-27	DePauw University	Social	4 Active, 2 Inactive
ΚΚΓ	Kappa Kappa Gamma	"Kappa"	1870-10-13	Monmouth College	Social	4 Active, 1 Inactive
ΠΒΦ	Pi Beta Phi	"Pi Phi"	1867-04-28	Monmouth College	Social	4 Active, 2 Inactive
