Date	Location	Lineup	Assist/pass	Score	Result	Competition
2007-04-14	Foxboro MA	on 8' ( off Lilly )	Heather O'Reilly	5-0	5-0	Friendly
2008-01-18	Guangzhou	on 46' ( off Wambach )	Tina DiMartino	3-1	4-1	Four Nations Tournament
2008-04-04	Juarez	Start	unassisted	2-0	6-0	CONCACAF Olympic Qualifying – final round
2009-05-25	Toronto	on 77' ( off Rodriguez )	Heather O'Reilly	4-0	4-0	Friendly
2010-02-24	Santo Antonio	off 66' ( on Rodriguez )	Lori Lindsey	2-0	2-0	Algarve Cup – group stage
2010-03-01	Ferreiras	on 46' ( off Rodriguez )	Casey Nogueira	1-0	2-0	Algarve Cup – group stage
2010-03-01	Ferreiras	on 46' ( off Rodriguez )	Lori Lindsey	2-0	2-0	Algarve Cup – group stage
2010-03-03	Faro	off 84' ( on Nogueira )	unassisted	3-1	3-2	Algarve Cup – championship game
2010-03-28	San Diego CA	on 46' ( off Rodriguez )	Shannon Boxx	3-0	3-0	Friendly
2010-11-01	Cancun	Start	unassisted	2-0	4-0	CONCACAF World Cup Qualifying – group stage
2010-11-08	Cancun	Start	Lori Lindsey	1-0	3-0	CONCACAF World Cup Qualifying – third-place match
2011-01-23	Chongqing	on 46' ( off Rodriguez )	Lindsay Tarpley	1-0	2-1	Four Nations Tournament
2011-03-09	Faro	off 46' ( on Wambach )	Megan Rapinoe	2-2	4-2	Algarve Cup – championship game
2011-06-05	Harrison NJ	on 61' ( off Rodriguez )	Abby Wambach	1-0	1-0	Friendly
2011-06-28	Dresden	Start	Abby Wambach	1-0	2-0	FIFA Women’s World Cup – group stage
2011-07-13	M Gladbach	Start	Heather O'Reilly	1-0	3-1	FIFA Women’s World Cup – semifinal
2012-01-20	Vancouver	Start	Heather O'Reilly	11-0	14-0	CONCACAF Olympic Qualifying – group stage
2012-01-22	Vancouver	off 46' ( on Morgan )	unassisted	3-0	13-0	CONCACAF Olympic Qualifying – group stage
2013-06-15	Foxboro MA	off 77' ( on Brian )	Tobin Heath	2-0	4-1	Friendly
2013-06-20	Harrison NJ	off 71' ( on Averbuch )	Kelley O'Hara	5-0	5-0	Friendly
2013-10-20	San Antonio TX	on 64' ( off Brian )	unassisted	1-0	4-0	Friendly
Match Reports	Match Reports	Match Reports	Match Reports	Match Reports	Match Reports	Match Reports
