Name	Merging to HDR from LDR images	HDR output ( EXR , HDR, Logluv , etc.)	Tonemapping	Exposure fusion
i2Align Quickage Express / Pro	Yes*	Yes*	No	No
Pixtra PanoStitcher	No	No	No	No
Pixtra OmniStitcher	No	No	No	No
PhotoFit Harmony / Premium	No	No	No	No
PanoramaPlus X4	No	No	No	No
PanoramaBuilder 7.0 / PanoramaBuilder 7.0 Pro	No	No	No	No
360 Panorama Professional	No	No	No	No
VRstitcher Fisheye Pro	No	No	No	No
COOL 360	No	No	No	No
PanaVue ImageAssembler Std. / Pro. / Ent.	No	No	No	No
The Panorama Factory v5	No	No	No	No
PixMaker Lite / Home / Business	No	No	No	No
PTAssembler	No	No	No	Yes
Panoweaver Standard / Professional / Batch	Yes*	No	Yes (Basic gamma adjustment)	No
PTgui / PTgui Pro	Yes*	Yes*	Yes*	Yes*
Autopano Pro / Giga / Server	Yes	Yes	Yes	No
Autostitch	No	No	No	No
Calico Panorama	No	No	No	No
hugin	Yes	Yes	No	Yes
3DVista Stitcher 3.0	No	No	No	No
D Joiner	No	No	No	No
Panorama Maker 6	No	No	No	No
Photovista Panorama	No	No	No	No
PanoramaStudio	No	No	No	No
Stitcher Unlimited 2009	Yes	Yes	Yes	No
ADG Panorama Tools / Pro	No	No	No	No
Panorama Composer 3	No	No	No	No
Image Composite Editor	No	No	No	No
Panorama Perfect	No	No	No	No
Photoshop	Yes	Yes	Yes	No
AIPR Lite 1	No	No	Yes*	No
Gigapan Stitch 1.0	No	No	No	No
PanoramaMaker	No	No	No	No
PanoEdit	Yes	Yes	No	No
SharpStitch	No	No	No	No
Name	Merging to HDR from LDR images	HDR output ( EXR , HDR, Logluv , etc.)	Tonemapping	Exposure fusion
