Date	Visitor	Score	Home	Decision	Attendance	Record
December 1	Dallas	4–1	Philadelphia	Turco	19,660	14–9–4
December 3	Dallas	2–1	Columbus	Turco	12,233	15–9–4
December 5	San Jose	3–2	Dallas	Turco	17,318	15–10–4
December 7	Ottawa	4–2	Dallas	Smith	18,016	15–11–4
December 10	Edmonton	4–5	Dallas	Turco	17,833	16–11–4
December 13	Los Angeles	1–4	Dallas	Turco	17,913	17–11–4
December 15	Dallas	4–2	San Jose	Turco	17,496	18–11–4
December 18	Dallas	2–1	Edmonton	Turco	16,839	19–11–4
December 20	Dallas	2–3	Vancouver	Turco	18,630	19–12–4
December 21	Dallas	3–2	Calgary	Smith	19,289	20–12–4
December 23	Montreal	1–4	Dallas	Turco	18,585	21–12–4
December 26	Minnesota	3–8	Dallas	Turco	18,532	22–12–4
December 29	St. Louis	4 – 5	Dallas	Smith	18,532	23–12–4
December 31	Nashville	1–0	Dallas	Turco	18,584	23–13–4
