Outcome	Date	Tournament	Surface	Partner	Opponents	Score
Winner	7 January 1991	Adelaide , Australia	Hard	Stefan Kruger	Paul Haarhuis Mark Koevermans	6–4, 4–6, 6–4
Winner	25 March 1991	Miami , US	Hard	Piet Norval	Ken Flach Robert Seguso	5–7, 7–6, 6–2
Winner	13 January 1992	Auckland , New Zealand	Hard	Jim Grabb	Grant Connell Glenn Michibata	6–4, 6–3
Runner-up	6 April 1992	Johannesburg , South Africa	Hard	Piet Norval	Pieter Aldrich Danie Visser	4–6, 4–6
Runner-up	18 May 1992	Rome , Italy	Clay	Mark Kratzmann	Jakob Hlasek Marc Rosset	4–6, 6–3, 1–6
Runner-up	3 August 1992	Summer Olympics , Barcelona, Spain	Clay	Piet Norval	Boris Becker Michael Stich	6–7, 6–4, 6–7, 3–6
Runner-up	17 May 1993	Rome, Italy	Clay	Mark Kratzmann	Jacco Eltingh Paul Haarhuis	4–6, 6–7
Winner	9 August 1993	Los Angeles , US	Hard	Michael Stich	Grant Connell Scott Davis	7–6, 7–6
Runner-up	15 November 1993	Antwerp , Belgium	Carpet	Javier Sánchez	Grant Connell Patrick Galbraith	3–6, 6–7
Runner-up	16 May 1994	Rome, Italy	Clay	Javier Sánchez	Yevgeny Kafelnikov David Rikl	1–6, 5–7
Runner-up	15 August 1994	Cincinnati , US	Hard	Mark Kratzmann	Alex O'Brien Sandon Stolle	7–6, 3–6, 2–6
Winner	15 May 1995	Hamburg , Germany	Clay	Yevgeny Kafelnikov	Byron Black Andrei Olhovskiy	6–1, 7–6
Runner-up	23 October 1995	Lyon , France	Carpet	John-Laffnie de Jager	Jakob Hlasek Yevgeny Kafelnikov	3–6, 3–6
Winner	23 February 1998	Antwerp, Belgium	Hard	Yevgeny Kafelnikov	Tomás Carbonell Francisco Roig	7–5, 3–6, 6–2
Runner-up	27 July 1998	Washington, D.C. , US	Hard	Patrick Galbraith	Grant Stafford Kevin Ullyett	2–6, 4–6
Runner-up	1 March 1999	London , UK	Carpet	Byron Black	Tim Henman Greg Rusedski	3–6, 6–7
Winner	2 August 1999	Los Angeles, US	Hard	Byron Black	Goran Ivanišević Brian MacPhie	6–2, 7–6
Runner-up	9 August 1999	Montreal , Canada	Hard	Byron Black	Jonas Björkman Patrick Rafter	6–7, 4–6
Runner-up	25 October 1999	Lyon, France	Carpet	Sandon Stolle	Piet Norval Kevin Ullyett	6–4, 6–7, 6–7
Winner	24 April 2000	Monte Carlo , Monaco	Clay	Yevgeny Kafelnikov	Paul Haarhuis Sandon Stolle	6–3, 2–6, 6–1
Runner-up	15 May 2000	Rome, Italy	Clay	Yevgeny Kafelnikov	Martin Damm Dominik Hrbatý	4–6, 6–4, 3–6
Winner	19 March 2001	Indian Wells , US	Hard	Yevgeny Kafelnikov	Jonas Björkman Todd Woodbridge	6–2, 7–5
Winner	14 May 2001	Rome, Italy	Clay	Yevgeny Kafelnikov	Daniel Nestor Sandon Stolle	6–4, 7–6
Winner	17 March 2003	Indian Wells, US	Hard	Yevgeny Kafelnikov	Bob Bryan Mike Bryan	3–6, 7–5, 6–4
