Date	Opponent	Venue	Result	Attendance
13 August 2000	Wolverhampton Wanderers	A	1-1	19,086
19 August 2000	Huddersfield Town	H	2-3	22,704
26 August 2000	Grimsby Town	A	1-0	7,755
28 August 2000	Blackburn Rovers	H	1-1	15,646
9 September 2000	Wimbledon	H	0-5	15,856
13 September 2000	Nottingham Forest	H	0-1	15,700
16 September 2000	Tranmere Rovers	A	0-2	9,352
23 September 2000	Preston North End	H	1-3	17,379
30 September 2000	Gillingham	A	0-2	9,099
8 October 2000	West Bromwich Albion	H	1-2	15,338
14 October 2000	Portsmouth	A	1-2	13,376
17 October 2000	Burnley	A	0-1	16,372
22 October 2000	Birmingham City	H	1-0	14,695
25 October 2000	Queens Park Rangers	A	2-1	10,353
28 October 2000	Fulham	H	3-3	17,559
4 November 2000	Crystal Palace	A	1-4	15,333
7 November 2000	Watford	A	3-1	11,166
11 November 2000	Norwich City	H	3-2	16,956
18 November 2000	Barnsley	A	0-1	19,989
25 November 2000	Crewe Alexandra	A	0-1	7,103
2 December 2000	Queens Park Rangers	H	5-2	21,782
9 December 2000	Stockport County	H	2-4	16,337
16 December 2000	Sheffield United	A	1-1	25,156
23 December 2000	Wolverhampton Wanderers	H	0-1	17,787
26 December 2000	Bolton Wanderers	A	0-2	21,316
30 December 2000	Huddersfield Town	A	0-0	18,931
1 January 2001	Grimsby Town	H	1-0	17,004
13 January 2001	Blackburn Rovers	A	0-2	19,308
20 January 2001	Bolton Wanderers	H	0-3	17,638
3 February 2001	Watford	H	2-3	16,134
10 February 2001	Wimbledon	A	1-4	6,741
13 February 2001	Tranmere Rovers	H	1-0	15,444
21 February 2001	Nottingham Forest	A	1-0	23,266
24 February 2001	Preston North End	A	0-2	14,379
3 March 2001	Gillingham	H	2-1	18,702
7 March 2001	Portsmouth	H	0-0	20,503
10 March 2001	West Bromwich Albion	A	2-1	18,662
17 March 2001	Burnley	H	2-0	20,184
24 March 2001	Birmingham City	A	2-1	19,733
1 April 2001	Sheffield United	H	1-2	38,433
7 April 2001	Stockport County	A	1-2	9,666
14 April 2001	Crystal Palace	H	4-1	19,877
16 April 2001	Fulham	A	1-1	17,500
21 April 2001	Barnsley	H	2-1	23,498
28 April 2001	Norwich City	A	0-1	21,241
6 May 2001	Crewe Alexandra	H	0-0	28,007
