Date	Tournament	Location	Winner	Score	1st prize ( $ )
Jan 14	Bob Hope Desert Classic	California	John Mahaffey (4)	343 (–17)	50,000
Jan 22	Phoenix Open	Arizona	Ben Crenshaw (6)	199 (–14)	33,750
Jan 28	Andy Williams-San Diego Open Invitational	California	Fuzzy Zoeller (1)	282 (–6)	45,000
Feb 4	Bing Crosby National Pro-Am	California	Lon Hinkle (2)	284 (–4)	54,000
Feb 11	Hawaiian Open	Hawaii	Hubert Green (15)	267 (–21)	54,000
Feb 18	Joe Garagiola-Tucson Open	Arizona	Bruce Lietzke (4)	265 (–15)	45,000
Feb 25	Glen Campbell-Los Angeles Open	California	Lanny Wadkins (6)	276 (–8)	45,000
Mar 4	Bay Hill Citrus Classic	Florida	Bob Byman (1)	278 (–6)	45,000
Mar 11	Jackie Gleason-Inverrary Classic	Florida	Larry Nelson (1)	274 (–14)	54,000
Mar 18	Doral-Eastern Open	Florida	Mark McCumber (1)	279 (–9)	45,000
Mar 25	Tournament Players Championship	Florida	Lanny Wadkins (7)	283 (–5)	72,000
Apr 1	Sea Pines Heritage Classic	South Carolina	Tom Watson (14)	270 (–14)	54,000
Apr 8	Greater Greensboro Open	North Carolina	Raymond Floyd (11)	282 (–6)	45,000
Apr 15	Masters Tournament	Georgia	Fuzzy Zoeller (2)	280 (–8)	50,000
Apr 22	Tallahassee Open	Florida	Chi Chi Rodriguez (8)	269 (–19)	18,000
Apr 22	MONY Tournament of Champions	California	Tom Watson (15)	275 (–13)	54,000
Apr 29	First NBC New Orleans Open	Louisiana	Hubert Green (16)	273 (–15)	45,000
May 6	Houston Open	Texas	Wayne Levi (2)	268 (–16)	54,000
May 13	Byron Nelson Golf Classic	Texas	Tom Watson (16)	275 (–5)	54,000
May 20	Colonial National Invitation	Texas	Al Geiberger (11)	274 (–6)	54,000
May 27	Memorial Tournament	Ohio	Tom Watson (17)	285 (–3)	54,000
Jun 3	Kemper Open	North Carolina	Jerry McGee (3)	272 (–16)	63,000
Jun 10	Atlanta Classic	Georgia	Andy Bean (5)	265 (–23)	54,000
Jun 17	U.S. Open	Ohio	Hale Irwin (11)	284 (E)	50,000
Jun 24	Canadian Open	Canada	Lee Trevino (24)	281 (–3)	63,000
Jul 1	Danny Thomas Memphis Classic	Tennessee	Gil Morgan (4)	278 (–10)	54,000
Jul 8	Western Open	Illinois	Larry Nelson (2)	286 (–2)	54,000
Jul 15	Greater Milwaukee Open	Wisconsin	Calvin Peete (1)	269 (–19)	36,000
Jul 21	British Open	England	Seve Ballesteros (2)	283 (–1)	31,500
Jul 22	Ed McMahon-Jaycees Quad Cities Open	Illinois	D. A. Weibring (1)	266 (–14)	36,000
Jul 29	IVB-Philadelphia Golf Classic	Pennsylvania	Lou Graham (4)	273 (–11)	45,000
Aug 5	PGA Championship	Michigan	David Graham (4)	272 (–8)	60,000
Aug 12	Sammy Davis Jr.-Greater Hartford Open	Connecticut	Jerry McGee (4)	267 (–17)	54,000
Aug 19	Manufacturers Hanover Westchester Classic	New York	Jack Renner (1)	277 (–7)	72,000
Aug 26	Colgate Hall of Fame Classic	North Carolina	Tom Watson (18)	272 (–12)	45,000
Sep 2	B.C. Open	New York	Howard Twitty (1)	270 (–14)	49,500
Sep 9	American Optical Classic	Massachusetts	Lou Graham (5)	275 (–9)	45,000
Sep 16	Buick-Goodwrench Open	Michigan	John Fought (1)	280 (–8)	27,000
Sep 23	Anheuser-Busch Golf Classic	California	John Fought (2)	277 (–11)	54,000
Sep 30	World Series of Golf	Ohio	Lon Hinkle (3)	272 (–8)	100,000
Oct 7	San Antonio Texas Open	Texas	Lou Graham (6)	268 (–12)	45,000
Oct 14	Southern Open	Georgia	Ed Fiori (1)	274 (–6)	36,000
Oct 21	Pensacola Open	Florida	Curtis Strange (1)	271 (–17)	36,000
Oct 28	Walt Disney World National Team Championship	Florida	George Burns (1) Ben Crenshaw (7)	255 (–33)	22,500 (each)
