Name	Career	Matches	Innings	Not Out	Runs scored	High Score	50s	100s	Average
Ricky Ponting Category:Articles with hCards	1995-2012	374	364	39	13589	164	82	29	41.81
Adam Gilchrist Category:Articles with hCards	1996-2008	286	278	11	9595	172	55	16	35.93
Mark Waugh Category:Articles with hCards	1988-2002	244	236	20	8500	173	50	18	39.35
Steve Waugh Category:Articles with hCards	1986-2002	325	288	58	7569	120*	45	3	32.90
Michael Clarke Category:Articles with hCards	2003-	227	207	42	7375	130	54	7	44.69
Michael Bevan Category:Articles with hCards	1994-2004	232	196	67	6912	108*	46	6	53.58
Allan Border Category:Articles with hCards	1979-1994	273	252	39	6524	127*	39	3	30.62
Matthew Hayden Category:Articles with hCards	1993-2008	160	154	15	6131	181*	36	10	44.10
Dean Jones Category:Articles with hCards	1984-1994	164	161	25	6068	145	46	7	44.61
David Boon Category:Articles with hCards	1984-1995	181	177	16	5964	122	37	5	37.04
Michael Hussey Category:Articles with hCards	2004-2012	185	157	44	5442	109*	39	3	48.15
Damien Martyn Category:Articles with hCards	1992-2006	208	182	51	5346	144*	37	5	40.80
Andrew Symonds Category:Articles with hCards	1998-2009	198	161	33	5088	156	30	6	39.75
Shane Watson Category:Articles with hCards	2002-	160	140	24	4796	185*	29	7	41.34
Geoff Marsh Category:Articles with hCards	1986-1992	117	115	6	4357	126*	22	9	39.97
Mark Taylor Category:Articles with hCards	1989-1997	113	110	1	3514	105	28	1	32.23
Darren Lehmann Category:Articles with hCards	1996-2005	117	101	22	3078	119	17	4	38.96
