Game	February	Opponent	Score	Record	Points
52	1	Vancouver Canucks	5–4	24–21–7	55
53	3	Chicago Black Hawks	2–2	24–21–8	56
54	4	@ Boston Bruins	2–2	24–21–9	57
55	7	@ Los Angeles Kings	1–2	24–22–9	57
56	9	@ Vancouver Canucks	10–5	25–22–9	59
57	11	@ Chicago Black Hawks	2–7	25–23–9	59
58	13	New York Islanders	8–2	26–23–9	61
59	15	Boston Bruins	1–3	26–24–9	61
60	17	@ Montreal Canadiens	7–6	27–24–9	63
61	18	Minnesota North Stars	5–1	28–24–9	65
62	20	@ St. Louis Blues	5–3	29–24–9	67
63	25	@ California Golden Seals	7–0	30–24–9	69
64	28	@ Detroit Red Wings	5–6	30–25–9	69
