Attendance	Round	Date	Home	Score	Away	Venue	Weekday	Time of Day
14,403	Final	21 December 2008	Chalatenango	3 – 3	Metapán	Estadio Cuscatlán	Sunday	Afternoon
11,463	Semifinal - 2nd leg	13 December 2008	FAS	1 – 3	Metapán	Estadio Oscar Quiteño	Saturday	Night
7,690	Round 2	6 August 2008	Águila	3 – 1	FAS	Estadio Juan Francisco Barraza	Wednesday	Night
6,997	Round 16	12 November 2008	FAS	1 – 0	Águila	Estadio Oscar Quiteño	Wednesday	Night
6,156	Round 8	20 September 2008	Águila	1 – 0	Alianza	Estadio Juan Francisco Barraza	Saturday	Twilight
5,815	Round 15	15 November 2008	FAS	1 – 1	Metapán	Estadio Oscar Quiteño	Saturday	Night
5,307	Round 2	6 August 2008	Alianza	3 – 1	Independiente	Estadio Cuscatlán	Wednesday	Afternoon
5,122	Semifinal - 2nd leg	13 December 2008	Águila	1 – 0	Chalatenango	Estadio Juan Francisco Barraza	Saturday	Night
4,800	Semifinal - 1st leg	7 December 2008	Chalatenango	3 – 0	Águila	Estadio José Gregorio Martínez	Sunday	Afternoon
4,722	Round 13	5 November 2008	Águila	3 – 2	Firpo	Estadio Juan Francisco Barraza	Wednesday	Night
4,510	Round 3	9 August 2008	Firpo	1 – 2	Alianza	Estadio Sergio Torres	Saturday	Night
