No. in series	Title	Directed by	Written by	Original air date	Production code
1	"Knight of the Phoenix (Part 1)"	Daniel Haller	Glen A. Larson	September26,1982	57375
2	"Knight of the Phoenix (Part 2)"	Daniel Haller	Glen A. Larson	September26,1982	57376
3	"Deadly Maneuvers"	Paul Stanley	William Schmidt & Bob Shayne	October1,1982	57305
4	"Good Day at White Rock"	Daniel Haller	Deborah Davis	October8,1982	57303
5	"Slammin' Sammy's Stunt Show Spectacular"	Bruce Bilson	E. Paul Edwards & John Alan Schwartz	October22,1982	57315
6	"Just My Bill"	Sidney Hayers	David Braff	October29,1982	57311
7	"Not a Drop to Drink"	Virgil Vogel	Hannah Louise Shearer	November5,1982	57304
8	"No Big Thing"	Bernard L. Kowalski	Judy Burns	November12,1982	57313
9	"Trust Doesn't Rust"	Paul Stanley	Steven E. De Souza	November19,1982	57307
10	"Inside Out"	Peter Crane	Steven E. De Souza	November26,1982	57302
12	"A Plush Ride"	Sidney Hayers	Gregory S. Dinallo	December10,1982	57306
13	"Forget Me Not"	Gil Bettman	Richard Christian Matheson & Thomas Szollosi	December17,1982	57312
14	"Hearts of Stone"	Jeffrey Hayden	Robert Foster	January14,1983	57322
15	"Give Me Liberty… or Give Me Death"	Bernard L. Kowalski	David Braff	January21,1983	57323
16	"The Topaz Connection"	Alan Myerson	Stephen Katz	January28,1983	57321
17	"A Nice, Indecent Little Town"	Gil Betteman	Frank Telford	February18,1983	57317
18	"Chariot of Gold"	Bernard L. Kowalski	William Schmidt	February25,1983	57326
19	"White Bird"	Winrich Kolbe	Virginia Aldridge	March4,1983	57330
20	"Knight Moves"	Christian I. Nyby II	William Schmidt	March11,1983	57332
21	"Nobody Does it Better"	Harvey Laidman	David Braff	April29,1983	57331
