Game	Date	Opponent	Score	Location	Attendance	Record	Points
23	December 3	Atlanta Thrashers	5–1 (W)	Scotiabank Place	17,215	9–10–4	22
24	December 6	Pittsburgh Penguins	3–2 (W)	Scotiabank Place	19,561	10–10–4	24
25	December 8	Florida Panthers	4–3 (OT)	Scotiabank Place	17,947	10–10–5	25
26	December 10	Chicago Blackhawks	2–0 (L)	Chicago	21,614	10–11–5	25
27	December 12	Washington Capitals	5–1 (L)	Washington	17,973	10–12–5	25
28	December 13	Tampa Bay Lightning	2–0 (W)	Scotiabank Place	18,446	11–12–5	27
29	December 16	Atlanta Thrashers	4–1 (L)	Scotiabank Place	18,746	11–13–5	27
30	December 19	New Jersey Devils	5–1 (L)	Newark	13,242	11–14–5	27
31	December 20	Dallas Stars	5–4 (W)	Scotiabank Place	19,486	12–14–5	29
32	December 23	Philadelphia Flyers	6–4 (L)	Philadelphia	19,578	12–15–5	29
33	December 27	Calgary Flames	6–3 (L)	Calgary	19,289	12–16–5	29
34	December 28	Vancouver Canucks	3–0 (L)	Vancouver	18,630	12–17–5	29
35	December 30	Edmonton Oilers	3–2 (W)	Edmonton	16,839	13–17–5	31
