Year	Player	School	Hometown	College
1982-1983	Tina Hutchinson	East St. Louis Senior High School	East St. Louis, IL	San Diego State
1983-1984	Chana Perry	Brookhaven High School	Brookhaven, MS	NE Louisiana / San Diego State
1984-1985	Nora Lewis	Richwoods High School	Peoria, IL	Louisiana Tech
1985-1986	Beth Hunt	Socastee High School	Socastee, SC	Maryland / South Carolina
1986-1987	Teri Mann	Point Loma High School	San Diego, CA	Western Kentucky / Liberty
1987-1988	Dawn Staley	Dobbins Tech High School	Philadelphia, PA	Virginia
1988-1989	Lisa Harrison	Southern High School	Louisville, KY	Tennessee
1989-1990	Lisa Leslie	Morningside High School	Inglewood, CA	USC
1990-1991	Tiffany Woosley	Central High School	Shelbyville, TN	Tennessee
1991-1992	Yolanda Watkins	Decatur High School	Decatur, AL	Alabama
1992-1993	La'Keshia Frett	Phoebus High School	Hampton, VA	Georgia
1993-1994	Nykesha Sales	Bloomfield High School	Bloomfield, CT	Connecticut
1994-1995	Stephanie White	Seeger High School	West Lebanon, IN	Purdue
1995-1996	Shea Ralph	Terry Sanford High School	Fayetteville, NC	Connecticut
1996-1997	Semeka Randall	Trinity High School	Garfield Heights, OH	Tennessee
1997-1998	Tamika Williams	Chaminade-Julienne High School	Dayton, OH	Connecticut
1998-1999	Nina Smith	Waterloo West High School	Waterloo, IA	Wisconsin / Holy Family
1999-2000	Shereka Wright	Copperas Cove High School	Copperas Cove, TX	Purdue
2000-2001	Shyra Ely	Ben Davis High School	Indianapolis, IN	Tennessee
2001-2002	Ann Strother	Highlands Ranch High School	Highlands Ranch, CO	Connecticut
2002-2003	Candace Parker	Central High School	Naperville, IL	Tennessee
2003-2004	Candace Parker	Central High School	Naperville, IL	Tennessee
2004-2005	Courtney Paris	Millennium High School	Piedmont, CA	Oklahoma
2005-2006	Tina Charles	Christ The King Regional High School	Queens, NY	Connecticut
2006-2007	Maya Moore	Collins Hill High School	Suwanee, GA	Connecticut
2007-2008	Elena Delle Donne	Ursuline Academy	Wilmington, DE	Connecticut / Delaware
2008-2009	Brittney Griner	Nimitz High School	Houston, TX	Baylor
2009-2010	Chiney Ogwumike	Cy-Fair High School	Cypress, TX	Stanford
2010-2011	Kaleena Mosqueda-Lewis	Mater Dei High School	Santa Ana, CA	Connecticut
2011-2012	Breanna Stewart	Cicero – North Syracuse High School	Syracuse, NY	Connecticut
2012-2013	Diamond Deshields	Norcross High School	Norcross, GA	North Carolina
