Driver	Constructor	Laps	Time/Retired	Grid
Lewis Hamilton	McLaren - Mercedes	67	1:31:20.874	1
Nelson Piquet Jr.	Renault	67	+5.586	17
Felipe Massa	Ferrari	67	+9.339	2
Nick Heidfeld	BMW Sauber	67	+9.825	12
Heikki Kovalainen	McLaren - Mercedes	67	+12.411	3
Kimi Räikkönen	Ferrari	67	+14.403	6
Robert Kubica	BMW Sauber	67	+22.682	7
Sebastian Vettel	Toro Rosso - Ferrari	67	+33.299	9
Jarno Trulli	Toyota	67	+37.158	4
Nico Rosberg	Williams - Toyota	67	+37.625	13
Fernando Alonso	Renault	67	+38.600	5
Sébastien Bourdais	Toro Rosso - Ferrari	67	+39.111	15
David Coulthard	Red Bull - Renault	67	+54.971	10
Kazuki Nakajima	Williams - Toyota	67	+1:00.003	16
Adrian Sutil	Force India - Ferrari	67	+1:09.488	19
Giancarlo Fisichella	Force India - Ferrari	67	+1:24.093	20
Jenson Button	Honda	66	+1 Lap	14
Rubens Barrichello	Honda	50	Collision damage	18
Mark Webber	Red Bull - Renault	40	Oil leak	8
Timo Glock	Toyota	35	Suspension/Accident	11
Source:	Source:	Source:	Source:	Source:
