Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Nant Conwy RFC	18	17	0	1	578	183	83	19	11	1	80
Caernarfon RFC	18	17	0	1	570	179	81	21	11	0	79
Mold RFC	18	11	0	7	471	349	63	46	8	3	55
Pwllheli RFC	18	10	0	8	479	338	66	42	7	4	51
Bro Ffestiniog RFC	18	9	0	9	346	457	52	63	5	2	43
Ruthin RFC	18	8	1	9	352	381	49	46	4	1	39
Colwyn Bay RFC	18	5	1	12	293	402	37	55	4	5	31
Llandudno RFC	18	4	2	12	266	536	30	79	2	4	26
Llangefni RFC	18	4	0	14	267	423	27	58	3	5	24
Denbigh RFC	18	3	0	15	204	578	24	83	1	3	16
