No. in series	No. in season	Title	Directed by	Written by	Original air date	U.S. viewers (millions)
141	1	"The 34th Floor"	Duane Clark	John Dove & Pam Veasey	September24,2010	10.35
142	2	"Unfriendly Chat"	Eric Laneuville	Trey Callaway	October1,2010	9.70
143	3	"Damned If You Do"	Christine Moore	Zachary Reiter	October8,2010	9.89
144	4	"Sangre Por Sangre"	Eric Laneuville	Aaron Rahsaan Thomas	October15,2010	9.57
145	5	"Out of the Sky"	Nathan Hope	Christopher Silber	October22,2010	10.25
146	6	"Do Not Pass Go"	David Jackson	Adam Targum	October29,2010	10.44
147	7	"Hide Sight"	Alex Zakrzewski	Bill Haynes	November5,2010	10.58
148	8	"Scared Stiff"	Marshall Adams	Kim Clements	November12,2010	10.02
149	9	"Justified"	Jeff Thomas	John Dove	November19,2010	10.18
150	10	"Shop Till You Drop"	Skipp Sudduth	Aaron Rahsaan Thomas	December3,2010	10.13
151	11	"To What End?"	Eric Laneuville	Pam Veasey & Zachary Reiter	January7,2011	9.45
152	12	"Holding Cell"	Scott White	Bill Haynes	January14,2011	9.56
153	13	"Party Down"	Skip Sudduth	Adam Targum	February4,2011	9.32
154	14	"Smooth Criminal"	Scott White	Aaron Rahsaan Thomas	February11,2011	9.71
155	15	"Vigilante"	Frederick E.O. Toye	Christopher Silber	February18,2011	10.65
156	16	"The Untouchable"	Vikki Williams	Kim Clements	February25,2011	10.89
157	17	"Do or Die"	Matt Earl Beesley	Matthew Levine	March11,2011	10.60
158	18	"Identity Crisis"	Mike Vejar, Jr.	Pam Veasey	April1,2011	10.36
159	19	"Food for Thought"	Oz Scott	Trey Callaway	April8,2011	9.75
160	20	"Nothing for Something"	Eric Laneuville	John Dove	April29,2011	9.19
161	21	"Life Sentence"	Jeffrey Hunt	Christopher Silber & Adam Targum	May6,2011	9.53
