State	Preliminary Average	Interview	Swimsuit	Evening Gown	Semifinal Average
New Jersey	8.510 (7)	8.626 (5)	8.712 (6)	9.165 (3)	8.834 (3)
Colorado	8.388 (10)	8.638 (4)	8.432 (9)	8.786 (5)	8.618 (7)
Louisiana	8.829 (2)	8.600 (6)	8.820 (4)	8.710 (7)	8.710 (5)
Oklahoma	8.662 (3)	8.880 (2)	8.762 (5)	9.214 (2)	8.952 (2)
California	8.659 (4)	8.313 (8)	8.977 (2)	8.774 (6)	8.688 (6)
Illinois	8.501 (8)	7.988 (9)	8.432 (9)	8.681 (9)	8.367 (10)
Texas	9.084 (1)	9.425 (1)	9.535 (1)	9.601 (1)	9.520 (1)
Pennsylvania	8.580 (5)	8.534 (7)	8.467 (8)	8.613 (10)	8.538 (8)
Arizona	8.529 (6)	7.792 (10)	8.833 (3)	8.703 (8)	8.442 (9)
Georgia	8.407 (9)	8.821 (3)	8.473 (7)	9.032 (4)	8.775 (4)
