Date	Opponent	Score	Loss	Record
September 1	@ Rangers	9–3	Darwin (8–7)	26–52
September 2	@ Rangers	4–1	Leal (4–10)	26–53
September 3	@ White Sox	4–3	Berenguer (2–7)	26–54
September 4	@ White Sox	6–2	Lamp (5–3)	27–54
September 5	@ White Sox	3–1	Baumgarten (5–8)	28–54
September 6	@ White Sox	3–2	Burns (8–3)	29–54
September 7	@ Twins	4–0	Berenguer (2–8)	29–55
September 8	@ Twins	1–0	Stieb (8–10)	29–56
September 9	@ Twins	3–1	Clancy (5–9)	29–57
September 10	Mariners	2–0	Clay (0–6)	30–57
September 11	Mariners	8–1	Berenguer (2–9)	30–58
September 12	Mariners	3–0	Beattie (2–2)	31–58
September 14	Twins	6–3	Clancy (5–10)	31–59
September 15	Twins	4–2	Arroyo (6–8)	32–59
September 16	Twins	5–2	Berenguer (2–10)	32–60
September 18	Angels	5–1	Witt (5–9)	33–60
September 19	Angels	6–4	Frost (1–7)	34–60
September 20	Angels	6–3	Zahn (9–11)	35–60
September 21	Athletics	Postponed (rain) Rescheduled for September 22	Postponed (rain) Rescheduled for September 22	Postponed (rain) Rescheduled for September 22
September 22	Athletics	3–2 (13)	Leal (7–11)	35–61
September 22	Athletics	4–2	Berenguer (2–11)	35–62
September 23	Athletics	6–0	Clancy (6–11)	35–63
September 25	@ Angels	11–5	Leal (7–12)	35–64
September 26	@ Angels	6–3	Berenguer (2–12)	35–65
September 27	@ Angels	4–3	Moreno (1–2)	36–65
September 29	@ Athletics	5–1	Clancy (6–12)	36–66
September 30	@ Athletics	3–0	Leal (7–13)	36–67
