Place	Player	Country	Score	To par	Money ( £ )
T1	Mark O'Meara	United States	72-68-72-68=280	E	Playoff
T1	Brian Watts	United States	68-69-73-70=280	E	Playoff
3	Tiger Woods	United States	65-73-77-66=281	+1	135,000
T4	Jesper Parnevik	Sweden	68-72-72-70=282	+2	76,667
T4	Raymond Russell	Scotland	68-73-75-66=282	+2	76,667
T4	Jim Furyk	United States	70-70-72-70=282	+2	76,667
T4	Justin Rose (a)	England	72-66-75-69=282	+2	0
8	Davis Love III	United States	67-73-77-68=285	+5	49,500
T9	Thomas Bjørn	Denmark	68-71-76-71=286	+6	40,850
T9	Costantino Rocca	Italy	72-74-70-70=286	+6	40,850
