Player	Played	Sets Won	Sets Lost	Legs Won	Legs Lost	LWAT	100+	140+	180s	High Checkout	3-dart Average
Phil Taylor	5	20	5	68	36	21	143	88	28	164	98.62
James Wade	1	1	2	6	7	2	17	9	4	76	92.17
Gary Anderson	2	4	3	17	13	8	40	18	12	100	91.34
Colin Lloyd	2	4	3	17	13	6	45	23	3	156	91.13
Adrian Lewis	3	5	6	25	24	10	62	25	13	167	89.77
Mark Dudbridge	2	3	4	15	14	5	33	15	13	88	89.61
Andy Hamilton	4	11	7	42	34	15	92	42	11	149	88.60
Wes Newton	2	4	3	18	13	5	36	19	6	141	88.44
Terry Jenkins	4	11	6	39	32	15	103	49	17	116	88.39
Dennis Priestley	2	3	4	12	16	3	45	21	4	125	88.04
Mark Walsh	1	1	2	6	8	2	23	9	0	84	87.55
Wayne Jones	2	2	4	11	14	3	35	18	2	114	87.48
Raymond van Barneveld	5	17	11	59	59	17	149	58	24	130	87.41
John Part	1	0	2	2	6	2	8	5	1	79	86.44
Brendan Dolan	1	0	2	2	6	0	8	5	2	55	86.01
Jamie Caven	1	0	2	2	6	1	7	5	1	65	85.55
Mervyn King	2	2	3	8	13	3	19	14	4	76	84.86
Vincent van der Voort	1	1	2	7	7	3	22	6	2	136	84.59
Andy Smith	3	5	7	23	30	25	59	25	12	105	84.25
Denis Ovens	1	1	2	4	7	1	14	1	4	66	83.76
Paul Nicholson	1	1	2	5	8	1	15	4	4	120	82.92
John Magowan	1	0	2	1	6	1	12	4	1	100	82.44
Kevin Painter	3	6	5	25	21	10	35	35	13	140	81.98
Colin Osborne	1	0	2	4	6	2	11	7	1	78	81.60
Alan Tabern	1	1	2	6	6	1	17	8	1	92	81.56
Michael van Gerwen	1	0	2	3	6	1	11	5	1	50	79.23
Steve Beaton	2	4	3	15	12	5	33	15	4	141	78.67
Jacko Barry	3	5	6	22	25	7	63	24	4	92	78.01
Robert Thornton	1	0	2	1	6	0	8	3	1	72	74.41
Ronnie Baxter	1	0	2	1	6	0	11	1	1	40	73.97
Mick McGowan	1	0	2	4	6	2	11	7	0	38	72.33
