Townland	Area( acres )	Barony	Civil parish	Poor law union
Aghacross	355	Condons & Clangibbon	Aghacross	Mitchelstown
Ardglare	239	Condons & Clangibbon	Brigown	Mitchelstown
Ballard	442	Condons & Clangibbon	Macroney	Fermoy
Ballinglanna North	364	Condons & Clangibbon	Kilcrumper	Fermoy
Ballinrush	370	Condons & Clangibbon	Kilcrumper	Fermoy
Ballinrush	604	Condons & Clangibbon	Kilworth	Fermoy
Ballinveelig	147	Condons & Clangibbon	Clondulane	Fermoy
Ballinvoher	1261	Condons & Clangibbon	Kilworth	Fermoy
Ballinwillin	138	Condons & Clangibbon	Brigown	Mitchelstown
Ballyadack North	196	Condons & Clangibbon	Kilphelan	Mitchelstown
Ballyadack South	113	Condons & Clangibbon	Kilphelan	Mitchelstown
Ballyarthur	126	Condons & Clangibbon	Fermoy	Fermoy
Ballyarthur	852	Condons & Clangibbon	Marshalstown	Mitchelstown
Ballybeg	248	Condons & Clangibbon	Brigown	Mitchelstown
Ballybeg	92	Condons & Clangibbon	Glanworth	Mitchelstown
Ballyderown	460	Condons & Clangibbon	Kilcrumper	Fermoy
Ballydorgan	499	Condons & Clangibbon	Castlelyons	Fermoy
Ballyenahan North	693	Condons & Clangibbon	Derryvillane	Mitchelstown
Ballygiblin	192	Condons & Clangibbon	Brigown	Mitchelstown
Ballykearney	225	Condons & Clangibbon	Kilgullane	Mitchelstown
Ballykenly	141	Condons & Clangibbon	Glanworth	Mitchelstown
Ballynabrock	347	Condons & Clangibbon	Brigown	Mitchelstown
Ballynacaheragh	248	Condons & Clangibbon	Glanworth	Mitchelstown
Ballynacarriga	238	Condons & Clangibbon	Kilcrumper	Fermoy
Ballynafauna	256	Condons & Clangibbon	Clondulane	Fermoy
Ballynahow (Murrogh)	122	Condons & Clangibbon	Glanworth	Fermoy
Ballynahow (Spiers)	174	Condons & Clangibbon	Glanworth	Fermoy
Ballynalacken	529	Condons & Clangibbon	Leitrim	Fermoy
Ballynamona	126	Condons & Clangibbon	Clondulane	Fermoy
Ballynamona	370	Condons & Clangibbon	Brigown	Mitchelstown
Ballynamuddagh	933	Condons & Clangibbon	Leitrim	Fermoy
Ballynaparka North	172	Condons & Clangibbon	Leitrim	Fermoy
Ballynaparka South	123	Condons & Clangibbon	Leitrim	Fermoy
Ballynoe	148	Condons & Clangibbon	Fermoy	Fermoy
Ballynoe East	92	Condons & Clangibbon	Glanworth	Fermoy
Ballyshurdane	381	Condons & Clangibbon	Templemolaga	Mitchelstown
Ballyvadona	400	Condons & Clangibbon	Clondulane	Fermoy
Ballyvisteen	388	Condons & Clangibbon	Kildorrery	Mitchelstown
Ballyvolock	148	Condons & Clangibbon	Glanworth	Fermoy
