Pos	SP	No.	Driver	Car Name	Car Make	Entrant	Laps	Status
1	3	24	Jeff Gordon	DuPont	Chevrolet	Hendrick Motorsports	160	Running
2	7	26	Brett Bodine	Quaker State /National Lease	Ford	King Racing	160	Running
3	6	11	Bill Elliott	Budweiser	Ford	Junior Johnson	160	Running
4	12	2	Rusty Wallace	Miller Genuine Draft	Ford	Penske Racing	160	Running
5	2	3	Dale Earnhardt	GM Goodwrench	Chevrolet	Richard Childress Racing	160	Running
6	27	17	Darrell Waltrip	Western Auto	Chevrolet	Darrell Waltrip Motorsports	160	Running
7	23	25	Ken Schrader	Kodiak	Chevrolet	Hendrick Motorsports	160	Running
8	15	30	Michael Waltrip	Pennzoil	Pontiac	Bahari Racing	160	Running
9	25	75	Todd Bodine	Factory Stores	Ford	Butch Mock	160	Running
10	11	21	Morgan Shepherd	Citgo	Ford	Wood Brothers Racing	160	Running
11	8	10	Ricky Rudd	Tide	Ford	Rudd Performance Motorsports	160	Running
12	21	5	Terry Labonte	Kellogg's	Chevrolet	Hendrick Motorsports	160	Running
13	37	16	Ted Musgrave	The Family Channel	Ford	Roush Racing	160	Running
14	9	4	Sterling Marlin	Kodak	Chevrolet	Morgan-McClure Motorsports	160	Running
15	41	15	Lake Speed	Ford Quality Care	Ford	Bud Moore Engineering	160	Running
16	5	22	Bobby Labonte	Maxwell House	Pontiac	Bill Davis Racing	160	Running
17	17	28	Ernie Irvan	Texaco / Havoline	Ford	Robert Yates Racing	159	Running
18	13	77	Greg Sacks	USAir	Ford	U.S Racing	159	Running
19	38	8	Jeff Burton (R)	Raybestos	Ford	Stavola Brothers Racing	159	Running
20	30	41	Joe Nemechek (R)	Meineke	Chevrolet	Larry Hedrick Motorsports	159	Running
21	35	44	Bobby Hillin, Jr.	Buss Fuses	Ford	Charles Hardy	159	Running
22	1	1	Rick Mast	Skoal Classic	Ford	Richard Jackson	159	Running
23	22	43	Wally Dallenbach, Jr.	STP	Pontiac	Petty Enterprises	159	Running
24	32	40	Bobby Hamilton	Kendall oil	Pontiac	SABCO Racing	159	Running
25	36	42	Kyle Petty	Mello Yello	Pontiac	SABCO Racing	159	Running
26	31	98	Jeremy Mayfield	Fingerhut	Ford	Cale Yarborough Motrsports	158	Running
27	39	2	Derrike Cope	Advil	Ford	T.W. Taylor	158	Running
28	28	14	John Andretti (R)	Bryant Heating & Cooling	Chevrolet	Hagan Racing	158	Running
29	19	9	Rich Bickle	Orkin	Ford	Melling Racing	157	Running
30	40	50	A.J. Foyt	Copenhagen	Ford	A. J. Foyt Enterprises	156	Running
31	33	31	Ward Burton (R)	Hardee's	Chevrolet	Alan G. Dillard, Jr.	155	Running
32	24	55	Jimmy Hensley	Bondo /Mar-Hyde	Ford	Ray DeWitt	155	Running
33	26	99	Danny Sullivan	Corporate Car of Indianapolis	Chevrolet	Chris Virtue	152	Running
34	29	51	Jeff Purvis	Country Time	Chevrolet	James Finch	142	Running
35	10	6	Mark Martin	Valvoline	Ford	Roush Racing	140	Running
36	20	23	Hut Stricklin	Smokin' Joe's	Ford	Travis Carter	136	Oil line
37	42	33	Harry Gant	Skoal Bandit	Chevrolet	Leo Jackson	133	Running
38	18	7	Geoff Brabham	Kmart	Ford	Michael Kranefuss	127	Crash
39	4	7	Geoffrey Bodine	Exide	Ford	Geoff Bodine Racing	99	Crash
40	14	18	Dale Jarrett	Interstate Batteries	Chevrolet	Joe Gibbs Racing	99	Crash
41	16	71	Dave Marcis	Terramite	Chevrolet	Dave Marcis	92	Crash
42	43	58	Mike Chase	Tyson Foods	Chevrolet	Bill Strauser	91	Crash
