Country	Film title used in nomination	Language	Original name	Director
Algeria	Sandstorm	French	Vent de sable	Mohammed Lakhdar-Hamina
Argentina	Last Days of the Victim	Spanish	Últimos días de la víctima	Adolfo Aristarain
Belgium	Minuet	Dutch	Menuet	Lili Rademakers
Bulgaria	Khan Asparoukh	Bulgarian	Хан Аспарух	Ludmil Staikov
Canada	Wild Flowers	French	Les fleurs sauvages	Jean Pierre Lefebvre
Czechoslovakia	The Assistant	Slovak	Pomocnik	Zoro Zahon
Denmark	Tree of Knowledge	Danish	Kundskabens træ	Nils Malmros
France	Clean Slate	French	Coup de Torchon	Bertrand Tavernier
West Germany	Fitzcarraldo	German	Fitzcarraldo	Werner Herzog
Greece	Angel	Greek	Ангел	Giorgos Katakouzinos
Hungary	Time Stands Still	Hungarian	Megáll az idö	Péter Gothár
Iceland	Inter Nos	Icelandic	Okkar á milli: Í hita og þunga dagsins	Hrafn Gunnlaugsson
Israel	Hamsin	Hebrew, Arabic	חמסין	Daniel Wachsmann
Italy	The Night of the Shooting Stars	Italian	La Notte di San Lorenzo	Paolo Taviani and Vittorio Taviani
Japan	Onimasa	Japanese	鬼龍院花子の生涯	Hideo Gosha
Netherlands	The Cool Lakes of Death	Dutch	Van de koele meren des doods	Nouchka van Brakel
Nicaragua	Alsino and the Condor	Spanish	Alsino y el cóndor	Miguel Littín
Norway	Victoria L	Norwegian	Leve sitt liv	Petter Vennerød and Svend Wam
Portugal	Francisca	Portuguese	Francisca	Manoel de Oliveira
Spain	Begin the Beguine	Spanish	Volver a empezar	José Luis Garci
Sweden	The Flight of the Eagle	Swedish	Ingenjör Andrées luftfärd	Jan Troell
Switzerland	Yol	Turkish	Yol	Şerif Gören and Yılmaz Güney
Taiwan	The Battle for the Republic of China	Chinese	辛亥双十	Ding Shan Xi
Soviet Union	Private Life	Russian	Частная жизнь	Yuli Raizman
Yugoslavia	The Smell of Quinces	Bosnian	Miris dunja	Mirza Idrizović
