Series #	Season #	Title	Directed by	Written by	Original air date	Production code	U.S. viewers (million)
11	1	"Satisfaction"	Anton Cropper	Peter Ocko	March16,2012	FL201	3.50
12	2	"Start Me Up"	Andy Wolk	Rob Fresco	March23,2012	FL202	3.36
13	3	"Bait & Switch"	Ken Girotti	Joanna Johnson	March30,2012	FL203	2.77
14	4	"Shine a Light"	Allan Kroeker	Jamie Pachino	April6,2012	FL204	2.91
15	5	"Gimme Shelter"	Peter Lauer	Tawnya Bhattacharya & Ali Laventhol	April13,2012	FL205	2.83
16	6	"What They Seem"	Anton Cropper	Tom Donaghy	April20,2012	FL206	2.92
17	7	"Teenage Wasteland"	Tawnia McKiernan	Ish Goldstein	April27,2012	FL207	2.55
18	8	"Ripple of Hope"	Peter Markle	Robert Nathan	May4,2012	FL208	2.67
19	9	"Kiss Me, Kate"	Michael Watkins	Roger Wolfson	May11,2012	FL209	1.88
20	10	"Shattered"	Andy Wolk	Jamie Pachino	May18,2012	FL210	2.61
21	11	"Borderline"	Matthew Penn	Joanna Johnson	June1,2012	FL211	2.52
22	12	"Force Majeure"	Peter Markle	Peter Ocko	June8,2012	FL212	2.65
