Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	19-17-6	Takahiro Kawanaka	Submission (anaconda choke)	DEEP - 60 Impact	1	1:38	Tokyo , Japan
Loss	19-16-6	Toshihiro Shimizu	Decision (unanimous)	DEEP - Cage Impact 2012 in Tokyo: Over Again	2	5:00	Tokyo , Japan
Win	19-15-6	Yasushi Kitazaki	Decision (majority)	DEEP - Tokyo Impact 2	2	5:00	Tokyo , Japan
Loss	18-15-6	Yasushi Kitazaki	Decision (unanimous)	DEEP - 53 Impact	2	5:00	Tokyo , Japan
Loss	18-14-6	Yoshitomo Watanabe	TKO (punches)	DEEP - 51 Impact	1	2:48	Tokyo , Japan
Loss	18-13-6	Taisuke Okuno	TKO (punches)	DEEP - 46 Impact	1	4:09	Tokyo , Japan
Win	18-12-6	Ryuki Ueyama	Decision (unanimous)	DEEP - 44 Impact	3	5:00	Tokyo , Japan
Win	17-12-6	Jose Bertran	Decision (unanimous)	2009 M-1 Challenge Season	2	5:00	Hilversum , Netherlands
Loss	16-12-6	Simon Phillips	KO (left hook)	2009 M-1 Challenge Season	1	0:20	Tokyo , Japan
Win	16-11-6	Makoto Ishikawa	Decision (unanimous)	DEEP - 40 Impact	2	5:00	Tokyo , Japan
Win	15-11-6	Javier Martinez	Decision (unanimous)	M-1 Challenge 8 - USA	3	5:00	Kansas City, Missouri , United States
Loss	14-11-6	Norman Paraisy	Decision (majority)	M-1 Challenge 6 - Korea	2	5:00	South Korea
Loss	14-10-6	Seichi Ikemoto	Decision (unanimous)	DEEP - 36 Impact	3	5:00	Osaka , Japan
Draw	14-9-6	Hiroki Nagaoka	Draw	DEEP - 35 Impact	2	5:00	Tokyo , Japan
Loss	14-9-5	Hayato Sakurai	Decision (unanimous)	Yarennoka! NYE 2008	2	5:00	Saitama , Japan
Draw	14-8-5	Kim Dong-Hyun	Draw	DEEP - 32 Impact	3	5:00	Tokyo , Japan
Loss	14-8-4	Kim Dong-Hyun	KO (slam and punches)	DEEP - 31 Impact	3	4:57	Tokyo , Japan
Win	14-7-4	Jutaro Nakao	Decision (majority)	DEEP - 28 Impact	3	5:00	Tokyo , Japan
Win	13-7-4	Ken Hamamura	Submission (rear naked choke)	DEEP - 26 Impact	1	3:22	Tokyo , Japan
Draw	12-7-4	Ryan Bow	Draw	DEEP - 25th Impact	2	5:00	Tokyo , Japan
Win	12-7-3	Quinton Alenza	Decision (unanimous)	DEEP - 24 Impact	2	5:00	Tokyo , Japan
Win	11-7-3	Shigetoshi Iwase	Decision (majority)	DEEP - 23 Impact	2	5:00	Tokyo , Japan
Win	10-7-3	Daisuke Nakamura	Decision (unanimous)	DEEP - 22 Impact	2	5:00	Tokyo , Japan
Loss	9-7-3	Seichi Ikemoto	Decision (unanimous)	DEEP - 20th Impact	3	5:00	Tokyo , Japan
Loss	9-6-3	Nobuhiro Obiya	Decision (unanimous)	DEEP - 19th Impact	3	5:00	Tokyo , Japan
Win	9-5-3	Naoki Seki	Submission (achilles lock)	Pancrase - Spiral 4	1	1:59	Yokohama , Japan
Loss	8-5-3	Satoru Kitaoka	Decision (split)	Pancrase - Spiral 2	3	5:00	Yokohama , Japan
Win	8-4-3	Hidetaka Monma	Decision (unanimous)	Pancrase - Brave 12	3	5:00	Tokyo , Japan
Win	7-4-3	Koji Oishi	Technical Submission (toe hold)	Pancrase - Brave 9	2	5:00	Tokyo , Japan
Loss	6-4-3	Yuichi Nakanishi	Decision (majority)	Pancrase - Brave 5	3	5:00	Tokyo , Japan
Draw	6-3-3	Seiki Ryo	Draw	Pancrase - Brave 3	2	5:00	Tokyo , Japan
Draw	6-3-2	Tetsuji Chikada	Draw	DEEP - clubDEEP Fukuoka: Team ROKEN Festival	2	5:00	Fukuoka , Japan
Loss	6-3-1	Eiji Ishikawa	Decision (unanimous)	Pancrase - Hybrid 11	3	5:00	Tokyo , Japan
Loss	6-2-1	Yuji Hisamatsu	KO (kick)	GCM - Demolition 10	2	2:08	Japan
Win	6-1-1	Ryoji Suzuki	Decision (unanimous)	GCM - Demolition 9	2	5:00	Yokohama , Japan
Win	5-1-1	Hikaru Sato	Decision (split)	Pancrase - Hybrid 7	2	5:00	Osaka , Japan
Loss	4-1-1	Yushin Okami	Decision (unanimous)	GCM - Demolition 7	2	5:00	Tokyo , Japan
Win	4-0-1	Daisuke Nakamura	Decision (unanimous)	GCM - Demolition 6	2	5:00	Japan
Win	3-0-1	Kousei Kubota	Submission (armbar)	Pancrase - Hybrid 2	2	3:05	Osaka , Japan
Win	2-0-1	Motohiro Tachihara	Submission (armbar)	GCM - Demolition 3	2	1:54	Tokyo , Japan
Draw	1-0-1	Hidenobu Koike	Draw	Pancrase - Spirit 7	2	5:00	Tokyo , Japan
Win	1-0	Masashi Suzuki	Submission (armbar)	GCM - Demolition 2	1	1:32	Tokyo , Japan
