Driver	Constructor	Laps	Time/Retired	Grid
Michael Schumacher	Ferrari	72	1:48:36.1	2
Mika Häkkinen	McLaren - Mercedes	72	+22.898	3
Eddie Irvine	Ferrari	72	+57.745	4
Alexander Wurz	Benetton - Playlife	72	+1:08.134	8
Jean Alesi	Sauber - Petronas	72	+1:18.286	11
David Coulthard	McLaren - Mercedes	72	+1:19.751	1
Giancarlo Fisichella	Benetton - Playlife	72	+1:28.437	10
Damon Hill	Jordan - Mugen-Honda	71	+1 Lap	9
Heinz-Harald Frentzen	Williams - Mecachrome	71	+1 Lap	6
Rubens Barrichello	Stewart - Ford	70	+2 Laps	14
Jarno Trulli	Prost - Peugeot	70	+2 Laps	16
Toranosuke Takagi	Tyrrell - Ford	70	+2 Laps	13
Shinji Nakano	Minardi - Ford	69	+3 Laps	19
Ricardo Rosset	Tyrrell - Ford	68	+4 Laps	21
Olivier Panis	Prost - Peugeot	65	Engine	15
Esteban Tuero	Minardi - Ford	63	Spun off	20
Jacques Villeneuve	Williams - Mecachrome	52	Collision	7
Johnny Herbert	Sauber - Petronas	46	Collision	12
Ralf Schumacher	Jordan - Mugen-Honda	22	Suspension	5
Mika Salo	Arrows	18	Gearbox	17
Jan Magnussen	Stewart - Ford	17	Transmission	22
Pedro Diniz	Arrows	13	Gearbox	18
