CERCLIS ID	Name	County	Proposed	Listed	Construction completed	Partially deleted	Deleted
AZD980695969	Abandoned Uranium Mines	Navajo Nation	–	–	–	–	–
AZD008399263	Apache Powder Company	Cochise	06/10/1986	08/30/1990	09/26/2008	–	–
AZD980735666	Hassayampa Landfill	Maricopa	06/10/1986	07/22/1987	09/30/1997	–	–
AZD980695969	Indian Bend Wash Area	Maricopa	12/30/1982	09/08/1983	09/28/2006	05/01/2003	–
AZ0000309013	Iron King Mine - Humboldt Smelter	Yavapai	03/19/2008	09/03/2008	–	–	–
AZ0570024133	Luke Air Force Base	Maricopa	07/14/1989	08/30/1990	09/25/2000	–	04/22/2002
AZD009004177	Motorola, Inc. (52nd Street Plant)	Maricopa	10/15/1984	10/04/1989	–	–	–
AZD980735724	Mountain View Mobile Home Estates	Gila	12/30/1982	09/08/1983	04/18/1988	–	04/18/1988
AZD980496780	Nineteenth Avenue Landfill	Maricopa	12/30/1982	09/08/1983	02/17/1998	–	09/25/2006
AZD980695902	Phoenix-Goodyear Airport Area	Maricopa	12/30/1982	09/08/1983	–	–	–
AZD980737530	Tucson International Airport Area	Pima	12/30/1982	09/08/1983	–	–	–
AZ7570028582	Williams Air Force Base	Maricopa	07/14/1989	11/21/1989	–	–	–
AZ0971590062	Yuma Marine Corps Air Station	Yuma	06/24/1988	02/21/1990	09/20/2000	–	–
