Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
33	January 1	@ Miami	L 107–114 (OT)	Dorell Wright (30)	David Lee (12)	Monta Ellis (7)	American Airlines Arena 20,254	13–20
34	January 3	@ Orlando	L 90–110 (OT)	Monta Ellis (20)	Monta Ellis (7)	Stephen Curry (5)	Amway Center 18,846	13–21
35	January 5	@ New Orleans	W 110–103 (OT)	Monta Ellis (29)	Louis Amundson (12)	Stephen Curry , Monta Ellis (4)	New Orleans Arena 13,532	14–21
36	January 7	Cleveland	W 116–98 (OT)	Monta Ellis (32)	David Lee (14)	Monta Ellis (10)	Oracle Arena 18,858	15–21
37	January 9	@ L.A. Clippers	L 91–105 (OT)	Dorell Wright (27)	Dan Gadzuric (7)	Monta Ellis (6)	Staples Center 17,696	15–22
38	January 12	L.A. Lakers	L 110–115 (OT)	Monta Ellis (38)	David Lee , Dorell Wright (7)	Stephen Curry (10)	Oracle Arena 19,596	15–23
39	January 14	L.A. Clippers	W 122–112 (OT)	Monta Ellis (30)	David Lee (9)	Monta Ellis , David Lee (6)	Oracle Arena 19,273	16–23
40	January 17	New Jersey	W 109–100 (OT)	Monta Ellis (26)	David Lee (10)	Monta Ellis (9)	Oracle Arena 18,563	17–23
41	January 19	Indiana	W 110–108 (OT)	Monta Ellis (36)	David Lee (9)	Stephen Curry (7)	Oracle Arena 18,185	18–23
42	January 21	Sacramento	W 119–112 (OT)	Stephen Curry (34)	Dorell Wright (12)	Monta Ellis (9)	Oracle Arena 18,428	19–23
43	January 22	@ L.A. Clippers	L 109–113 (OT)	Stephen Curry (32)	David Lee (15)	Stephen Curry (8)	Staples Center 19,373	19–24
44	January 24	San Antonio	L 102–113 (OT)	David Lee (31)	David Lee (12)	Dorell Wright (9)	Oracle Arena 18,523	19–25
45	January 26	New Orleans	L 103–112 (OT)	Monta Ellis (26)	David Lee (10)	Stephen Curry (6)	Oracle Arena 18,108	19–26
46	January 28	Charlotte	L 113–121 (OT)	Stephen Curry (27)	Andris Biedriņš (12)	Monta Ellis , Dorell Wright (6)	Oracle Arena 18,407	19–27
