Source	Dates Administered	Terry McAuliffe	Brian Moran	Creigh Deeds
Survey USA	June 8	30%	21%	42%
Public Policy Polling	June 6-7	26%	24%	40%
Suffolk University	June 4	20%	20%	27%
Daily Kos/Research 2000	June 1-3	26%	27%	30%
Survey USA	May 31 June 2	35%	26%	29%
Public Policy Polling	May 28-31	24%	22%	27%
Public Policy Polling	May 19-21, 2009	29%	20%	20%
Daily Kos/Research 2000	May 18–20, 2009	36%	22%	13%
Survey USA	May 17–19, 2009	37%	22%	26%
Public Policy Polling	May 1–3, 2009	30%	20%	14%
Survey USA	April 25–27, 2009	38%	22%	22%
Research 2000	April 6–8, 2009	19%	24%	16%
Public Policy Polling	March 27–29, 2009	18%	22%	15%
Public Policy Polling	February 28–March 1, 2009	21%	19%	14%
