Camera	Filter	Wavelength	Total exposure time	Exposures
WFPC2	F300W	300nm (U-band)	140,400s	106
WFPC2	F450W	450nm (B-band)	103,500s	67
WFPC2	F606W	606nm (V-band)	99,300s	53
WFPC2	F814W	814nm (I-band)	113,900s	57
NICMOS NIC3	F110W	110nm (J-band)	162,600s	142
NICMOS NIC3	F160W	160nm (H-band)	171,200s	150
NICMOS NIC3	F222M	222mm (K-band)	105,000s	102
STIS	50CCD	350–950nm	155,600s	67
STIS	F28X50LP	550–960nm	49,800s	64
STIS	MIRFUV	150–170nm	52,100s	25
STIS	MIRNUV	160–320nm	22,600s	12
Spectroscopy	G430M	302.2–356.6nm	57,100s	61
Spectroscopy	G140L	115–173nm	18,500s	8
Spectroscopy	E230M	227.8–312nm	151,100s	69
